date,close,volume,open,low,high
2019-04-16 17:32:00,20.11,2176940,20.11,20.11,20.11
2019-04-16 17:20:00,20.11,16466,20.10,20.09,20.11
2019-04-16 17:19:00,20.10,27879,20.10,20.09,20.10
2019-04-16 17:18:00,20.10,27175,20.10,20.09,20.11
2019-04-16 17:17:00,20.10,13410,20.11,20.10,20.11
2019-04-16 17:16:00,20.11,9471,20.12,20.11,20.12
2019-04-16 17:14:00,20.11,32150,20.10,20.10,20.11
2019-04-16 17:12:00,20.11,2000,20.11,20.11,20.11
2019-04-16 17:11:00,20.11,17701,20.09,20.09,20.11
2019-04-16 17:10:00,20.09,5427,20.08,20.08,20.09
2019-04-16 17:09:00,20.08,12793,20.08,20.08,20.08
2019-04-16 17:06:00,20.08,11323,20.08,20.08,20.08
2019-04-16 17:05:00,20.08,1411,20.08,20.08,20.08
2019-04-16 17:04:00,20.08,16496,20.08,20.08,20.08
2019-04-16 17:03:00,20.09,17260,20.08,20.08,20.09
2019-04-16 17:02:00,20.09,9385,20.08,20.08,20.09
2019-04-16 17:01:00,20.09,9188,20.10,20.09,20.10
2019-04-16 17:00:00,20.09,2797,20.10,20.09,20.10
2019-04-16 16:59:00,20.10,841,20.10,20.10,20.10
2019-04-16 16:58:00,20.10,17495,20.10,20.10,20.10
2019-04-16 16:56:00,20.10,32454,20.11,20.10,20.11
2019-04-16 16:55:00,20.12,5956,20.11,20.11,20.12
2019-04-16 16:54:00,20.11,11240,20.10,20.10,20.11
2019-04-16 16:53:00,20.10,9430,20.10,20.10,20.10
2019-04-16 16:52:00,20.11,2222,20.11,20.11,20.11
2019-04-16 16:51:00,20.10,8757,20.10,20.10,20.11
2019-04-16 16:50:00,20.10,5531,20.10,20.10,20.10
2019-04-16 16:48:00,20.10,3282,20.10,20.10,20.10
2019-04-16 16:47:00,20.10,1530,20.10,20.10,20.10
2019-04-16 16:46:00,20.09,800,20.09,20.09,20.09
2019-04-16 16:45:00,20.09,8840,20.11,20.09,20.11
2019-04-16 16:44:00,20.10,15495,20.10,20.10,20.10
2019-04-16 16:42:00,20.11,5923,20.10,20.10,20.11
2019-04-16 16:41:00,20.10,5918,20.10,20.10,20.11
2019-04-16 16:40:00,20.10,703,20.10,20.10,20.10
2019-04-16 16:39:00,20.10,14654,20.10,20.09,20.10
2019-04-16 16:37:00,20.10,32531,20.10,20.10,20.10
2019-04-16 16:35:00,20.10,1675,20.10,20.10,20.10
2019-04-16 16:34:00,20.10,4674,20.09,20.09,20.10
2019-04-16 16:33:00,20.09,1835,20.09,20.09,20.09
