date,open,high,low,close,volume
2000-01-04,123.5,124.0,118.7,122.0,368950.0
2000-01-05,120.0,120.0,115.0,115.0,618600.0
2000-01-06,114.1,116.0,111.5,114.1,501050.0
2000-01-07,114.4,118.6,114.4,117.5,399640.0
2000-01-10,118.9,122.6,118.9,120.4,402230.0
2000-01-11,120.4,122.4,118.8,122.4,244820.0
2000-01-12,122.7,122.7,112.1,117.7,942740.0
2000-01-13,117.6,118.5,113.9,115.2,449560.0
2000-01-14,115.0,115.0,111.1,111.5,425670.0
2000-01-17,112.0,113.3,107.2,109.9,571660.0
2000-01-18,110.4,111.2,108.0,108.5,572900.0
2000-01-19,108.9,109.4,107.8,109.1,312170.0
2000-01-20,110.0,110.0,103.8,105.7,547940.0
2000-01-21,102.7,107.3,102.0,107.0,881550.0
2000-01-24,107.5,112.9,107.0,110.5,576370.0
2000-01-25,109.8,111.7,106.9,106.9,503360.0
2000-01-26,108.2,117.3,108.0,117.3,843190.0
2000-01-27,120.0,122.5,118.9,122.0,863110.0
2000-01-28,123.7,132.0,123.7,127.5,1062590.0
2000-01-31,125.1,127.7,124.1,124.1,554040.0
2000-02-01,128.0,128.8,125.9,128.8,305880.0
2000-02-02,130.0,131.0,126.4,128.1,365010.0
2000-02-03,127.1,128.1,122.6,125.0,333110.0
2000-02-04,125.7,127.0,122.2,124.0,412410.0
2000-02-07,125.7,126.5,122.9,125.0,268200.0
2000-02-08,125.0,131.3,124.3,128.5,450530.0
2000-02-09,129.2,130.0,128.4,129.3,329050.0
2000-02-10,129.3,130.3,126.0,128.5,227010.0
2000-02-11,129.5,129.5,125.6,127.8,255700.0
2000-02-14,128.9,128.9,120.5,121.0,252720.0
2000-02-15,120.3,121.6,114.6,115.6,660200.0
2000-02-16,116.3,125.3,116.3,123.1,611450.0
2000-02-17,122.9,130.2,122.6,128.5,438230.0
2000-02-18,128.8,131.3,126.6,129.5,479730.0
2000-02-21,125.5,129.0,122.5,127.5,382350.0
2000-02-22,126.9,132.0,126.9,131.0,332000.0
2000-02-23,132.5,136.2,131.1,136.0,416740.0
2000-02-24,135.5,142.0,135.5,137.0,652480.0
2000-02-25,139.9,143.0,136.1,138.7,260990.0
2000-02-28,138.5,139.5,133.2,134.9,204890.0
2000-02-29,134.0,137.1,130.3,132.0,360250.0
2000-03-01,133.6,135.1,130.5,134.0,219910.0
2000-03-02,132.1,138.0,132.1,138.0,247360.0
2000-03-03,139.3,139.5,136.6,137.7,293320.0
2000-03-06,137.5,142.5,136.5,141.0,275490.0
2000-03-07,142.0,144.0,139.0,139.0,231650.0
2000-03-08,137.3,137.5,130.3,131.9,305930.0
2000-03-09,131.9,131.9,125.6,129.8,230620.0
2000-03-10,130.0,130.0,127.2,129.6,245650.0
2000-03-13,126.5,127.8,123.9,125.0,292880.0
2000-03-14,125.6,131.9,125.6,130.3,455010.0
2000-03-15,129.6,135.0,129.6,133.5,506360.0
2000-03-16,136.0,137.0,130.0,131.8,516370.0
2000-03-17,136.6,136.6,122.4,123.7,1296160.0
2000-03-20,124.5,128.0,123.5,127.8,551920.0
2000-03-21,127.0,130.4,123.8,124.0,755970.0
2000-03-22,124.0,126.7,121.4,126.7,466140.0
2000-03-23,126.0,128.3,123.0,126.9,402380.0
2000-03-24,128.5,130.4,126.0,126.0,460880.0
2000-03-27,125.9,128.7,125.8,125.9,211310.0
2000-03-28,125.0,126.5,124.5,125.7,170040.0
2000-03-29,125.1,125.1,123.0,123.7,347430.0
2000-03-30,123.1,123.1,117.0,118.4,554150.0
2000-03-31,117.5,120.4,114.7,115.0,640590.0
2000-04-03,115.2,119.9,115.0,118.0,486330.0
