date,open,high,low,close,volume
2000-01-04,25.86,25.9,25.333,25.433,613400.0
2000-01-05,25.333,25.733,25.073,25.733,525000.0
2000-01-06,25.3,25.38,25.2,25.267,773900.0
2000-01-07,25.667,25.74,25.2,25.2,986700.0
2000-01-10,25.4,25.733,25.267,25.387,980200.0
2000-01-11,25.333,25.6,25.147,25.147,747400.0
2000-01-12,25.173,25.173,24.667,24.667,979300.0
2000-01-13,24.767,25.8,24.767,25.467,1303200.0
2000-01-14,26.213,26.34,25.867,26.213,1241800.0
2000-01-17,26.467,27.467,26.467,27.333,886300.0
2000-01-18,27.533,28.267,27.0,27.733,566000.0
2000-01-19,27.7,28.467,27.6,28.2,860800.0
2000-01-20,28.607,29.167,27.673,27.933,855600.0
2000-01-21,28.207,28.233,27.853,28.007,1014800.0
2000-01-24,28.167,28.4,25.0,25.0,566600.0
2000-01-25,27.667,27.667,27.187,27.333,700100.0
2000-01-26,27.373,27.727,26.6,27.0,840200.0
2000-01-27,27.2,27.467,26.58,26.733,814700.0
2000-01-28,26.833,26.867,26.347,26.52,545900.0
2000-01-31,26.347,26.513,26.167,26.333,630500.0
2000-02-01,26.7,28.333,26.647,28.333,1105600.0
2000-02-02,28.3,28.3,27.5,28.0,905300.0
2000-02-03,27.867,28.3,27.6,28.3,804900.0
2000-02-04,28.267,28.567,28.0,28.4,441300.0
2000-02-07,28.2,29.467,28.2,29.567,792200.0
2000-02-08,29.567,30.267,29.333,30.1,458200.0
2000-02-09,29.827,29.827,28.0,28.0,467800.0
2000-02-10,27.813,28.233,27.813,28.007,549000.0
2000-02-11,28.0,28.333,27.6,28.0,670300.0
2000-02-14,27.6,28.167,27.0,27.653,426800.0
2000-02-15,27.667,27.933,27.133,27.26,442400.0
2000-02-16,27.233,27.233,26.593,26.7,659100.0
2000-02-17,26.667,28.033,26.6,27.333,1456600.0
2000-02-18,27.533,27.7,27.233,27.4,597100.0
2000-02-21,26.867,26.867,26.4,26.567,747200.0
2000-02-22,26.347,26.427,25.467,25.467,937100.0
2000-02-23,25.767,25.9,25.2,25.267,763600.0
2000-02-24,25.233,25.667,25.233,25.533,618800.0
2000-02-25,25.4,25.927,25.4,25.633,624300.0
2000-02-28,25.467,25.8,25.233,25.5,416900.0
2000-02-29,25.413,25.733,25.267,25.667,773000.0
2000-03-01,25.867,26.233,25.833,26.167,638200.0
2000-03-02,26.3,27.033,25.833,27.033,714300.0
2000-03-03,26.933,27.0,26.667,26.733,855400.0
2000-03-06,27.06,27.067,26.587,26.733,851400.0
2000-03-07,26.727,26.833,26.2,26.56,738100.0
2000-03-08,26.467,26.467,25.333,25.76,664200.0
2000-03-09,25.473,25.7,25.333,25.52,703500.0
2000-03-10,25.793,25.8,25.24,25.367,605300.0
2000-03-13,25.2,25.2,23.4,24.633,1464700.0
2000-03-14,24.307,25.0,24.167,24.467,859700.0
2000-03-15,24.267,24.333,23.867,24.067,638200.0
2000-03-16,24.667,25.527,24.533,25.133,1832700.0
2000-03-17,25.633,25.933,25.2,25.86,1227800.0
2000-03-20,25.8,26.067,25.54,26.0,541400.0
2000-03-21,25.407,26.433,25.407,26.133,514400.0
2000-03-22,26.6,26.967,26.58,26.667,920600.0
2000-03-23,27.0,28.4,26.933,27.953,1524900.0
2000-03-24,28.007,28.007,27.667,27.9,395100.0
2000-03-27,27.867,28.333,27.6,28.333,877700.0
2000-03-28,28.327,29.133,28.18,28.927,900300.0
2000-03-29,28.827,28.827,28.373,28.733,452100.0
2000-03-30,28.667,28.727,27.2,27.393,1116100.0
2000-03-31,27.26,28.327,27.26,28.167,646300.0
2000-04-03,28.033,28.033,27.6,27.667,470800.0
2000-04-04,27.7,28.567,27.7,28.5,812100.0
2000-04-05,28.467,28.573,27.667,28.573,1643000.0
2000-04-06,28.233,28.4,28.007,28.4,500300.0
2000-04-07,28.533,28.767,28.267,28.667,723200.0
2000-04-10,28.373,29.16,28.373,28.733,517800.0
2000-04-11,28.433,28.533,27.707,28.073,760700.0
2000-04-12,28.267,28.9,28.133,28.48,407700.0
2000-04-13,28.467,28.487,27.933,28.467,930000.0
2000-04-14,28.467,28.647,27.78,27.8,850600.0
2000-04-17,26.467,26.867,26.02,26.867,1375300.0
2000-04-18,26.807,27.2,25.6,26.367,704400.0
2000-04-19,26.633,26.667,25.8,26.667,716500.0
2000-04-20,27.0,27.0,26.4,26.833,218400.0
2000-04-21,26.833,26.833,26.833,26.833,0.0
2000-04-24,26.833,26.833,26.833,26.833,0.0
2000-04-25,26.667,27.467,26.533,27.227,245300.0
2000-04-26,27.467,27.6,26.273,26.66,698300.0
2000-04-27,27.1,27.2,26.433,27.187,419100.0
2000-04-28,27.393,28.227,27.187,27.933,1001600.0
2000-05-01,27.933,27.933,27.933,27.933,0.0
2000-05-02,27.947,28.94,27.947,28.8,1097000.0
2000-05-03,28.667,28.78,28.367,28.533,383800.0
2000-05-04,28.533,28.667,28.12,28.12,251900.0
2000-05-05,28.267,28.267,27.733,28.013,213800.0
2000-05-08,28.32,28.933,28.133,28.867,670500.0
2000-05-09,28.867,28.867,28.433,28.673,223500.0
2000-05-10,28.54,28.9,27.873,28.033,614400.0
2000-05-11,28.0,28.267,27.567,28.1,457600.0
2000-05-12,28.267,28.367,28.02,28.133,236700.0
2000-05-15,28.16,28.2,27.52,27.7,404000.0
2000-05-16,27.993,28.0,27.573,27.733,405100.0
2000-05-17,27.867,28.24,27.833,27.993,505300.0
2000-05-18,27.853,28.0,27.5,27.933,680300.0
2000-05-19,28.2,28.467,27.767,28.467,554200.0
2000-05-22,28.433,29.267,28.207,28.967,1388800.0
2000-05-23,29.233,29.233,28.433,28.567,764400.0
2000-05-24,28.333,28.367,27.967,28.167,461600.0
2000-05-25,28.1,28.233,27.967,27.967,462900.0
2000-05-26,27.967,28.08,27.327,27.327,1040700.0
2000-05-29,27.327,27.587,27.087,27.333,727400.0
2000-05-30,27.34,27.667,27.033,27.4,982900.0
2000-05-31,27.867,28.26,27.467,28.0,842700.0
2000-06-01,27.867,28.26,27.467,28.0,842700.0
2000-06-02,27.933,28.6,27.6,28.6,376900.0
2000-06-05,28.553,28.553,27.687,28.133,646600.0
2000-06-06,28.233,28.787,28.067,28.733,922100.0
2000-06-07,28.667,29.46,28.467,29.467,1524600.0
2000-06-08,29.5,29.5,28.533,28.533,1726600.0
2000-06-09,28.327,28.467,28.067,28.32,614900.0
