date,open,high,low,close,volume
2000-01-04,55.9,56.2,52.2,53.3,892500.0
2000-01-05,52.8,52.8,49.9,50.5,1480800.0
2000-01-06,51.0,52.0,50.6,51.3,1572200.0
2000-01-07,52.2,53.9,52.2,52.5,1061300.0
2000-01-10,53.5,54.6,53.0,54.0,1071700.0
2000-01-11,54.9,56.4,54.5,56.2,1262700.0
2000-01-12,56.9,59.1,56.5,58.3,2023900.0
2000-01-13,58.1,58.7,57.1,58.6,2471200.0
2000-01-14,59.0,59.7,58.6,59.0,1928000.0
2000-01-17,59.0,59.5,57.7,58.3,932900.0
2000-01-18,58.4,58.5,56.5,56.7,893400.0
2000-01-19,57.9,57.9,55.2,55.5,832700.0
2000-01-20,56.2,56.5,53.8,54.1,1297500.0
2000-01-21,54.5,54.9,53.5,53.7,1024100.0
2000-01-24,54.7,54.7,52.2,52.4,1413600.0
2000-01-25,52.4,54.0,52.0,54.0,816500.0
2000-01-26,56.5,57.1,56.0,56.4,2774200.0
2000-01-27,56.8,56.8,54.6,56.0,782100.0
2000-01-28,56.1,56.1,55.1,56.0,906700.0
2000-01-31,55.0,55.0,54.0,54.8,430500.0
2000-02-01,55.0,55.0,54.0,54.5,480600.0
2000-02-02,54.0,54.9,53.5,54.9,767900.0
2000-02-03,54.9,55.3,54.2,54.2,863900.0
2000-02-04,54.3,54.8,52.6,53.2,839200.0
2000-02-07,52.9,54.5,52.9,53.9,531600.0
2000-02-08,54.0,54.5,53.0,53.9,565900.0
2000-02-09,53.3,54.8,53.1,54.0,981700.0
2000-02-10,53.5,54.0,52.5,54.0,320800.0
2000-02-11,54.0,54.0,53.0,54.0,354400.0
2000-02-14,54.0,54.0,53.0,53.6,503800.0
2000-02-15,53.5,53.5,52.1,52.1,404200.0
2000-02-16,52.1,52.8,52.1,52.2,513500.0
2000-02-17,52.2,52.4,51.1,51.5,1366000.0
2000-02-18,52.0,52.1,50.7,51.5,1042000.0
2000-02-21,51.5,51.6,51.0,51.5,288200.0
2000-02-22,51.0,51.9,51.0,51.0,519500.0
2000-02-23,51.0,51.5,50.6,51.0,606800.0
2000-02-24,51.3,51.3,50.1,50.5,493100.0
2000-02-25,49.9,51.2,49.85,51.0,1041600.0
2000-02-28,51.5,51.5,50.5,50.8,559900.0
2000-02-29,50.6,51.5,50.6,51.0,1236700.0
2000-03-01,50.5,51.0,49.7,50.0,355500.0
2000-03-02,49.5,51.0,49.4,51.0,690800.0
2000-03-03,51.5,51.5,50.8,51.0,4259300.0
2000-03-06,50.1,51.6,50.1,51.4,2639800.0
2000-03-07,51.3,52.3,51.3,52.0,1089100.0
2000-03-08,51.6,52.4,51.5,52.4,662900.0
2000-03-09,52.6,53.9,52.6,53.8,1916200.0
2000-03-10,54.0,55.0,53.2,54.2,500800.0
2000-03-13,53.8,54.0,50.4,50.4,463000.0
2000-03-14,50.9,51.5,50.1,51.5,617600.0
2000-03-15,51.0,51.7,50.7,51.7,277200.0
2000-03-16,51.3,53.4,51.3,53.4,632000.0
2000-03-17,53.7,53.9,50.7,51.9,1048800.0
2000-03-20,52.0,52.7,51.5,52.7,226300.0
2000-03-21,52.9,53.6,52.7,53.6,519100.0
2000-03-22,53.6,55.1,53.6,54.5,1558500.0
2000-03-23,54.0,55.0,52.5,53.0,242900.0
2000-03-24,53.3,54.4,53.1,53.5,240600.0
2000-03-27,54.1,55.0,53.5,54.7,993200.0
2000-03-28,55.0,55.0,53.8,54.2,203200.0
2000-03-29,54.9,55.7,53.8,53.8,986800.0
2000-03-30,53.5,54.4,53.1,53.3,4358400.0
2000-03-31,53.4,54.3,53.4,53.8,2486600.0
2000-04-03,54.2,54.7,54.0,54.7,2178300.0
2000-04-04,55.2,55.2,54.7,54.9,905700.0
2000-04-05,54.8,54.8,53.5,54.0,942700.0
2000-04-06,54.0,55.1,53.5,55.1,1205700.0
2000-04-07,55.3,57.2,55.1,56.1,1650100.0
2000-04-10,55.7,56.9,55.3,55.5,669800.0
2000-04-11,55.0,56.4,54.7,56.4,910000.0
2000-04-12,55.7,56.4,55.6,56.3,285200.0
2000-04-13,56.2,56.5,55.2,56.0,374300.0
2000-04-14,56.2,56.2,55.1,56.2,673100.0
2000-04-17,53.0,54.9,52.6,53.5,936600.0
2000-04-18,54.0,54.6,53.0,53.6,258900.0
2000-04-19,54.0,55.6,53.5,55.0,449400.0
2000-04-20,55.4,55.5,55.1,55.4,357600.0
2000-04-21,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,54.5,55.1,53.8,54.3,316400.0
2000-04-26,54.9,55.5,54.9,55.4,906300.0
2000-04-27,55.4,55.8,55.2,55.8,1015100.0
2000-04-28,56.0,56.2,55.7,55.9,1391300.0
