date,close,volume,open,low,high
2019-04-16 17:32:00,78500,39,78500,78500,78500
2019-04-16 17:31:00,78500,77,78500,78500,78500
2019-04-16 17:30:00,78500,348,78000,78000,78600
2019-04-16 17:29:00,78100,101,78100,78000,78100
2019-04-16 17:28:00,78100,32,78100,78100,78100
2019-04-16 17:27:00,78000,32,78000,78000,78000
2019-04-16 17:25:00,78100,156,78300,77900,78500
2019-04-16 17:23:00,78500,20,78500,78500,78500
2019-04-16 17:22:00,78500,96,78600,78300,78600
2019-04-16 17:21:00,78500,87,78300,78300,78600
2019-04-16 17:07:00,78400,1,78400,78400,78400
2019-04-16 16:29:00,78300,1,78300,78300,78300
2019-04-16 16:27:00,78400,1,78400,78400,78400
2019-04-16 16:18:00,78300,2,78300,78300,78300
2019-04-16 16:16:00,78300,1,78300,78300,78300
2019-04-16 16:14:00,78400,1,78400,78400,78400
2019-04-16 16:07:00,78400,1,78400,78400,78400
2019-04-16 16:02:00,78300,2,78300,78300,78300
2019-04-16 15:59:00,78300,4,78300,78300,78300
2019-04-16 15:55:00,78200,5,78200,78200,78200
2019-04-16 15:49:00,78300,1,78300,78300,78300
2019-04-16 15:46:00,78200,1,78200,78200,78200
2019-04-16 15:41:00,78300,1,78300,78300,78300
2019-04-16 15:31:00,78200,1,78200,78200,78200
2019-04-16 15:22:00,78300,1,78300,78300,78300
2019-04-16 15:19:00,78400,1,78400,78400,78400
2019-04-16 15:15:00,78300,2,78300,78300,78300
2019-04-16 15:12:00,78300,2,78300,78300,78300
2019-04-16 15:02:00,78300,2,78300,78300,78300
2019-04-16 15:00:00,78300,1,78300,78300,78300
2019-04-16 14:52:00,78400,1,78400,78400,78400
2019-04-16 14:43:00,78300,1,78300,78300,78300
2019-04-16 14:24:00,78300,1,78300,78300,78300
2019-04-16 13:59:00,78400,3,78200,78200,78400
2019-04-16 13:25:00,78200,1,78200,78200,78200
2019-04-16 13:11:00,78200,1,78200,78200,78200
2019-04-16 13:05:00,78300,2,78300,78300,78300
2019-04-16 11:12:00,78300,1,78300,78300,78300
2019-04-16 11:10:00,78300,1,78300,78300,78300
2019-04-16 10:50:00,78300,1,78300,78300,78300
2019-04-16 10:42:00,78200,2,78200,78200,78200
2019-04-16 10:39:00,78200,1,78200,78200,78200
2019-04-16 10:31:00,78300,1,78300,78300,78300
2019-04-16 10:27:00,78400,1,78400,78400,78400
2019-04-16 10:21:00,78400,1,78400,78400,78400
2019-04-16 10:02:00,78500,2,78500,78500,78500
2019-04-16 09:41:00,78500,2,78500,78500,78500
2019-04-16 09:37:00,78300,3,78400,78300,78400
2019-04-16 09:32:00,78400,1,78400,78400,78400
2019-04-16 09:20:00,78300,1,78300,78300,78300
2019-04-15 17:31:00,78500,241,78500,78500,78500
2019-04-15 17:30:00,78500,692,78900,78400,78900
2019-04-15 17:29:00,78900,400,79200,78800,79200
2019-04-15 17:28:00,79300,127,79300,79200,79300
2019-04-15 17:27:00,79100,125,79100,79000,79100
2019-04-15 17:25:00,79300,121,80000,79300,80000
2019-04-15 17:23:00,80000,441,79000,79000,80000
2019-04-15 17:22:00,78800,381,78300,78300,78800
2019-04-15 17:21:00,78400,80,78300,78200,78400
2019-04-15 17:20:00,78300,1,78300,78300,78300
2019-04-15 17:12:00,78300,1,78300,78300,78300
2019-04-15 17:02:00,78100,3,78100,78100,78100
2019-04-15 16:52:00,78100,1,78100,78100,78100
2019-04-15 16:50:00,78100,1,78100,78100,78100
2019-04-15 16:45:00,78200,1,78200,78200,78200
2019-04-15 16:39:00,78100,1,78100,78100,78100
2019-04-15 16:37:00,78100,1,78100,78100,78100
2019-04-15 16:36:00,78300,1,78300,78300,78300
2019-04-15 16:29:00,78100,2,78100,78100,78100
2019-04-15 15:31:00,78200,1,78200,78200,78200
2019-04-15 15:24:00,78400,1,78400,78400,78400
2019-04-15 15:23:00,78400,1,78400,78400,78400
2019-04-15 15:13:00,78300,1,78300,78300,78300
2019-04-15 15:06:00,78200,2,78200,78200,78200
2019-04-15 14:53:00,78000,3,78100,78000,78100
2019-04-15 14:32:00,78300,1,78300,78300,78300
2019-04-15 14:15:00,78100,1,78100,78100,78100
2019-04-15 13:50:00,78300,3,78300,78300,78300
2019-04-15 13:30:00,78300,1,78300,78300,78300
2019-04-15 13:08:00,78300,1,78300,78300,78300
2019-04-15 12:59:00,78300,3,78400,78300,78400
2019-04-15 12:54:00,78500,1,78500,78500,78500
2019-04-15 12:31:00,78500,1,78500,78500,78500
2019-04-15 12:28:00,78400,2,78400,78400,78400
2019-04-15 12:17:00,78200,1,78200,78200,78200
2019-04-15 12:10:00,78300,3,78300,78300,78300
2019-04-15 11:19:00,78300,1,78300,78300,78300
2019-04-15 10:41:00,78400,1,78400,78400,78400
2019-04-15 10:12:00,78500,1,78500,78500,78500
2019-04-15 10:07:00,78500,2,78400,78400,78500
2019-04-15 09:49:00,78300,2,78300,78300,78300
2019-04-15 09:40:00,78400,1,78400,78400,78400
2019-04-15 09:28:00,78600,1,78600,78600,78600
2019-04-15 09:27:00,78500,3,78300,78300,78500
2019-04-15 09:20:00,78500,6,78600,78500,78600
2019-04-15 09:09:00,78700,2,78700,78700,78700
2019-04-15 09:08:00,78600,1,78600,78600,78600
2019-04-15 09:01:00,78700,7,78400,78400,78700
2019-04-15 08:54:00,78700,3,78700,78700,78700
2019-04-15 08:43:00,78800,3,78800,78800,78800
2019-04-15 07:44:00,78400,2,78400,78400,78400
2019-04-15 07:02:00,78800,2,78800,78800,78800
2019-04-15 06:31:00,78400,1,78400,78400,78400
2019-04-12 17:31:00,78200,176,78200,78200,78200
2019-04-12 17:30:00,78100,1104,78500,78100,78500
2019-04-12 17:29:00,78500,168,78400,78400,78500
2019-04-12 17:28:00,78500,84,78500,78500,78500
2019-04-12 17:27:00,78800,168,78900,78800,78900
2019-04-12 17:25:00,79000,880,78800,78800,79000
2019-04-12 17:24:00,78900,220,78700,78500,78900
2019-04-12 17:23:00,78500,205,78500,78100,78500
2019-04-12 17:22:00,78200,612,80000,78100,80000
2019-04-12 17:21:00,80000,561,80000,78900,80000
2019-04-12 17:20:00,78300,1,78300,78300,78300
2019-04-12 17:14:00,78200,2,78300,78200,78300
2019-04-12 16:57:00,78100,1,78100,78100,78100
2019-04-12 16:56:00,78300,1,78300,78300,78300
2019-04-12 16:50:00,78100,3,78100,78100,78100
2019-04-12 16:49:00,78100,1,78100,78100,78100
2019-04-12 16:41:00,78100,1,78100,78100,78100
2019-04-12 16:05:00,78000,1,78000,78000,78000
2019-04-12 15:58:00,77900,2,77900,77900,77900
2019-04-12 15:50:00,77800,2,77800,77800,77800
2019-04-12 15:36:00,77800,1,77800,77800,77800
2019-04-12 15:35:00,77900,1,77900,77900,77900
2019-04-12 15:06:00,78000,1,78000,78000,78000
2019-04-12 15:00:00,77800,1,77800,77800,77800
2019-04-12 14:46:00,77800,1,77800,77800,77800
2019-04-12 14:37:00,77700,2,77700,77700,77700
2019-04-12 14:33:00,77800,1,77800,77800,77800
2019-04-12 14:26:00,77900,2,78000,77900,78000
2019-04-12 14:22:00,77900,1,77900,77900,77900
2019-04-12 14:10:00,78000,1,78000,78000,78000
2019-04-12 14:09:00,78000,1,78000,78000,78000
2019-04-12 13:20:00,78100,1,78100,78100,78100
2019-04-12 13:09:00,77900,1,77900,77900,77900
2019-04-12 12:16:00,78000,1,78000,78000,78000
2019-04-12 12:15:00,77900,1,77900,77900,77900
2019-04-12 12:11:00,77800,1,77800,77800,77800
2019-04-12 11:31:00,78100,1,78100,78100,78100
2019-04-12 11:11:00,78000,1,78000,78000,78000
2019-04-12 10:46:00,78000,1,78000,78000,78000
2019-04-12 10:39:00,77900,1,77900,77900,77900
