date,open,high,low,close,volume
2000-01-04,28.0,28.0,28.0,28.0,0.0
2000-01-05,27.8,27.8,27.8,27.8,0.0
2000-01-06,28.96,28.96,28.96,28.96,0.0
2000-01-07,29.53,29.53,29.53,29.53,0.0
2000-01-10,29.23,29.23,29.23,29.23,0.0
2000-01-11,29.3,29.3,29.3,29.3,0.0
2000-01-12,29.93,29.93,29.93,29.93,0.0
2000-01-13,30.05,30.05,30.05,30.05,0.0
2000-01-14,30.21,30.21,30.21,30.21,0.0
2000-01-17,29.95,29.95,29.95,29.95,0.0
2000-01-18,29.53,29.53,29.53,29.53,0.0
2000-01-19,29.34,29.34,29.34,29.34,0.0
2000-01-20,28.98,28.98,28.98,28.98,0.0
2000-01-21,28.95,28.95,28.95,28.95,0.0
2000-01-24,28.3,28.3,28.3,28.3,0.0
2000-01-25,27.44,27.44,27.44,27.44,0.0
2000-01-26,27.2,27.2,27.2,27.2,0.0
2000-01-27,27.87,27.87,27.87,27.87,0.0
2000-01-28,27.3,27.3,27.3,27.3,0.0
2000-01-31,27.06,27.06,27.06,27.06,0.0
2000-02-01,27.25,27.25,27.25,27.25,0.0
2000-02-02,27.4,27.4,27.4,27.4,0.0
2000-02-03,27.6,27.6,27.6,27.6,0.0
2000-02-04,26.97,26.97,26.97,26.97,0.0
2000-02-07,26.65,26.65,26.65,26.65,0.0
2000-02-08,26.78,26.78,26.78,26.78,0.0
2000-02-09,26.15,26.15,26.15,26.15,0.0
2000-02-10,26.38,26.38,26.38,26.38,0.0
2000-02-11,26.16,26.16,26.16,26.16,0.0
2000-02-14,25.75,25.75,25.75,25.75,0.0
2000-02-15,25.42,25.42,25.42,25.42,0.0
2000-02-16,26.5,26.5,26.5,26.5,0.0
2000-02-17,26.71,26.71,26.71,26.71,0.0
2000-02-18,27.31,27.31,27.31,27.31,0.0
2000-02-21,26.81,26.81,26.81,26.81,0.0
2000-02-22,27.62,27.62,27.62,27.62,0.0
2000-02-23,27.81,27.81,27.81,27.81,0.0
2000-02-24,27.66,27.66,27.66,27.66,0.0
2000-02-25,28.07,28.07,28.07,28.07,0.0
2000-02-28,28.02,28.02,28.02,28.02,0.0
2000-02-29,28.13,28.13,28.13,28.13,0.0
2000-03-01,28.49,28.49,28.49,28.49,0.0
2000-03-02,28.6,28.6,28.6,28.6,0.0
2000-03-03,28.33,28.33,28.33,28.33,0.0
2000-03-06,28.5,28.5,28.5,28.5,0.0
2000-03-07,27.97,27.97,27.97,27.97,0.0
2000-03-08,26.98,26.98,26.98,26.98,0.0
2000-03-09,26.92,26.92,26.92,26.92,0.0
2000-03-10,26.4,26.4,26.4,26.4,0.0
2000-03-13,26.07,26.07,26.07,26.07,0.0
2000-03-14,26.2,26.2,26.2,26.2,0.0
2000-03-15,27.33,27.33,27.33,27.33,0.0
2000-03-16,29.0,29.0,29.0,29.0,0.0
2000-03-17,28.5,28.5,28.5,28.5,0.0
2000-03-20,29.04,29.04,29.04,29.04,0.0
2000-03-21,29.44,29.44,29.44,29.44,0.0
2000-03-22,29.52,29.52,29.52,29.52,0.0
2000-03-23,29.5,29.5,29.5,29.5,0.0
2000-03-24,29.89,29.89,29.89,29.89,0.0
2000-03-27,29.55,29.55,29.55,29.55,0.0
2000-03-28,29.7,29.7,29.7,29.7,0.0
2000-03-29,29.55,29.55,29.55,29.55,0.0
2000-03-30,29.7,29.7,29.7,29.7,0.0
2000-03-31,29.8,29.8,29.8,29.8,0.0
2000-04-03,30.09,30.09,30.09,30.09,0.0
2000-04-04,30.7,30.7,30.7,30.7,0.0
2000-04-05,30.65,30.65,30.65,30.65,0.0
2000-04-06,30.5,30.5,30.5,30.5,0.0
2000-04-07,30.38,30.38,30.38,30.38,0.0
2000-04-10,30.34,30.34,30.34,30.34,0.0
2000-04-11,30.45,30.45,30.45,30.45,0.0
2000-04-12,30.78,30.78,30.78,30.78,0.0
2000-04-13,30.47,30.47,30.47,30.47,0.0
2000-04-14,30.16,30.16,30.16,30.16,0.0
2000-04-17,29.9,29.9,29.9,29.9,0.0
2000-04-18,29.75,29.75,29.75,29.75,0.0
2000-04-19,29.94,29.94,29.94,29.94,0.0
2000-04-20,29.98,29.98,29.98,29.98,0.0
2000-04-21,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,30.55,30.55,30.55,30.55,0.0
2000-04-26,30.42,30.42,30.42,30.42,0.0
2000-04-27,30.5,30.5,30.5,30.5,0.0
2000-04-28,30.4,30.4,30.4,30.4,0.0
2000-05-01,0.0,0.0,0.0,0.0,0.0
2000-05-02,30.7,30.7,30.7,30.7,0.0
2000-05-03,30.56,30.56,30.56,30.56,0.0
2000-05-04,30.78,30.78,30.78,30.78,0.0
2000-05-05,31.03,31.03,31.03,31.03,0.0
2000-05-08,31.4,31.4,31.4,31.4,0.0
2000-05-09,32.0,32.0,32.0,32.0,0.0
2000-05-10,31.96,31.96,31.96,31.96,0.0
2000-05-11,32.88,32.88,32.88,32.88,0.0
2000-05-12,32.55,32.55,32.55,32.55,0.0
2000-05-15,32.3,32.3,32.3,32.3,0.0
2000-05-16,32.04,32.04,32.04,32.04,0.0
2000-05-17,32.03,32.03,32.03,32.03,0.0
2000-05-18,32.1,32.1,32.1,32.1,0.0
2000-05-19,31.98,31.98,31.98,31.98,0.0
2000-05-22,32.45,32.45,32.45,32.45,0.0
2000-05-23,32.89,32.89,32.89,32.89,0.0
2000-05-24,33.4,33.4,33.4,33.4,0.0
2000-05-25,33.39,33.39,33.39,33.39,0.0
2000-05-26,32.95,32.95,32.95,32.95,0.0
2000-05-29,32.82,32.82,32.82,32.82,0.0
2000-05-30,32.8,32.8,32.8,32.8,0.0
2000-05-31,32.2,32.2,32.2,32.2,0.0
2000-06-01,3.241,3.246,3.203,3.22,99867000.0
2000-06-02,32.63,32.63,32.63,32.63,0.0
2000-06-05,32.0,32.0,32.0,32.0,0.0
2000-06-06,32.17,32.17,32.17,32.17,0.0
2000-06-07,32.22,32.22,32.22,32.22,0.0
2000-06-08,31.77,31.77,31.77,31.77,0.0
2000-06-09,31.43,31.43,31.43,31.43,0.0
