date,open,high,low,close,volume
2019-04-11 03:00:00,97.0,97.15,97.0,97.01,0.0
2019-04-11 03:01:00,97.01,97.01,96.77,96.83,15170.0
2019-04-11 03:02:00,96.77,96.86,96.77,96.86,10659.0
2019-04-11 03:03:00,96.83,97.0,96.83,97.0,9056.0
2019-04-11 03:04:00,96.94,96.94,96.85,96.85,6361.0
2019-04-11 03:05:00,96.85,96.85,96.77,96.83,20518.0
2019-04-11 03:06:00,96.83,96.85,96.77,96.78,11460.0
2019-04-11 03:07:00,96.76,96.8,96.74,96.79,7887.0
2019-04-11 03:08:00,96.8,96.81,96.76,96.76,6178.0
2019-04-11 03:09:00,96.76,96.79,96.75,96.77,5727.0
2019-04-11 03:10:00,96.74,96.79,96.74,96.79,5703.0
2019-04-11 03:11:00,96.78,96.85,96.77,96.78,9006.0
2019-04-11 03:12:00,96.83,96.83,96.77,96.78,2112.0
2019-04-11 03:13:00,96.75,96.81,96.75,96.79,9469.0
2019-04-11 03:14:00,96.79,96.8,96.73,96.74,9741.0
2019-04-11 03:15:00,96.76,96.81,96.76,96.78,3853.0
2019-04-11 03:16:00,96.78,96.78,96.74,96.74,8018.0
2019-04-11 03:17:00,96.73,96.8,96.73,96.79,4146.0
2019-04-11 03:18:00,96.8,96.81,96.79,96.8,5541.0
2019-04-11 03:19:00,96.81,96.81,96.77,96.78,5676.0
2019-04-11 03:20:00,96.79,96.83,96.78,96.83,5393.0
2019-04-11 03:21:00,96.82,96.83,96.78,96.79,2247.0
2019-04-11 03:22:00,96.78,96.78,96.77,96.78,719.0
2019-04-11 03:23:00,96.78,96.78,96.77,96.78,200.0
2019-04-11 03:24:00,96.77,96.77,96.74,96.76,16518.0
2019-04-11 03:25:00,96.75,96.78,96.74,96.74,5155.0
2019-04-11 03:26:00,96.73,96.75,96.73,96.73,6583.0
2019-04-11 03:27:00,96.73,96.73,96.68,96.68,13539.0
2019-04-11 03:28:00,96.67,96.71,96.67,96.68,3250.0
2019-04-11 03:29:00,96.69,96.73,96.68,96.73,7463.0
2019-04-11 03:30:00,96.74,96.76,96.74,96.76,4403.0
2019-04-11 03:31:00,96.74,96.74,96.7,96.7,9308.0
2019-04-11 03:32:00,96.67,96.67,96.65,96.65,799.0
2019-04-11 03:33:00,96.64,96.65,96.62,96.62,3518.0
2019-04-11 03:34:00,96.64,96.66,96.64,96.64,3761.0
2019-04-11 03:35:00,96.63,96.67,96.62,96.67,5153.0
2019-04-11 03:36:00,96.67,96.71,96.66,96.68,14603.0
2019-04-11 03:37:00,96.68,96.69,96.67,96.69,9621.0
2019-04-11 03:38:00,96.68,96.68,96.56,96.57,40464.0
2019-04-11 03:39:00,96.55,96.55,96.46,96.51,17993.0
2019-04-11 03:40:00,96.53,96.54,96.46,96.5,13642.0
2019-04-11 03:41:00,96.49,96.49,96.46,96.48,12414.0
2019-04-11 03:42:00,96.5,96.5,96.47,96.47,2487.0
2019-04-11 03:43:00,96.46,96.49,96.46,96.49,6734.0
2019-04-11 03:44:00,96.49,96.49,96.46,96.47,4572.0
2019-04-11 03:45:00,96.47,96.48,96.44,96.44,4643.0
2019-04-11 03:46:00,96.44,96.44,96.44,96.44,9446.0
2019-04-11 03:47:00,96.44,96.45,96.43,96.45,17666.0
2019-04-11 03:48:00,96.45,96.45,96.39,96.39,18944.0
2019-04-11 03:49:00,96.39,96.43,96.38,96.43,8925.0
2019-04-11 03:50:00,96.43,96.43,96.41,96.43,3034.0
2019-04-11 03:51:00,96.44,96.48,96.44,96.45,5788.0
2019-04-11 03:52:00,96.44,96.47,96.43,96.43,10383.0
2019-04-11 03:53:00,96.44,96.45,96.44,96.45,270.0
2019-04-11 03:54:00,96.46,96.48,96.46,96.48,921.0
2019-04-11 03:55:00,96.48,96.5,96.48,96.5,360.0
2019-04-11 03:56:00,96.51,96.51,96.47,96.47,1261.0
2019-04-11 03:57:00,96.48,96.5,96.48,96.5,7486.0
2019-04-11 03:58:00,96.49,96.52,96.47,96.51,5679.0
2019-04-11 03:59:00,96.51,96.51,96.46,96.46,1982.0
2019-04-11 04:00:00,96.48,96.51,96.48,96.51,517.0
2019-04-11 04:01:00,96.51,96.53,96.51,96.52,1746.0
2019-04-11 04:02:00,96.52,96.52,96.51,96.51,857.0
2019-04-11 04:03:00,96.49,96.53,96.49,96.51,1955.0
2019-04-11 04:04:00,96.51,96.52,96.49,96.49,909.0
2019-04-11 04:05:00,96.48,96.48,96.47,96.47,1512.0
2019-04-11 04:06:00,96.48,96.52,96.48,96.52,4604.0
2019-04-11 04:07:00,96.52,96.57,96.52,96.57,2749.0
