date,open,high,low,close,volume
2000-01-04,51.0504,51.138,49.835,49.835,10412059.0
2000-01-05,49.3258,50.056,49.1278,49.172,9013220.0
2000-01-06,49.1278,50.1223,48.8405,50.0781,8651949.0
2000-01-07,50.5643,51.3377,50.3875,51.3377,8129048.0
2000-01-10,51.9344,52.3092,51.138,51.138,9892732.0
2000-01-11,50.8957,51.0726,50.2098,50.4095,7868411.0
2000-01-12,49.9676,50.6748,49.812,50.5413,8140043.0
2000-01-13,50.7411,50.9399,50.475,50.7189,5747212.0
2000-01-14,51.1609,51.9777,51.0938,51.7134,12258006.0
2000-01-17,51.9344,52.0219,51.359,51.9114,7080439.0
2000-01-18,51.8239,51.8902,50.8294,50.8516,9429514.0
2000-01-19,51.0504,51.138,50.4308,50.4308,6583510.0
2000-01-20,50.5855,50.7623,49.7245,49.9455,7779315.0
2000-01-21,49.2825,50.0118,49.2825,49.2825,10471878.0
2000-01-24,49.3046,49.4805,48.3985,48.3985,8631496.0
2000-01-25,48.067,48.3755,46.8948,46.9841,8299547.0
2000-01-26,47.2705,47.4261,46.4316,46.6075,8716837.0
2000-01-27,46.8285,47.5578,46.7631,47.1388,6674914.0
2000-01-28,46.9841,47.4915,46.1001,46.4528,6870799.0
2000-01-31,46.0338,46.4758,44.8395,44.8395,10258301.0
2000-02-01,45.5255,46.1885,45.3478,46.1885,9202815.0
2000-02-02,46.741,46.9841,45.7465,46.3653,6230475.0
2000-02-03,46.4095,47.2935,46.2106,46.7631,5957033.0
2000-02-04,46.5633,46.7631,45.613,45.613,6006762.0
2000-02-07,45.5255,46.3865,45.2373,46.1443,6699530.0
2000-02-08,46.299,47.0946,45.834,45.834,8658782.0
2000-02-09,46.1443,46.3653,45.3478,45.5255,8372127.0
2000-02-10,45.2815,45.6793,45.1498,45.3045,7457502.0
2000-02-11,45.4371,45.4813,44.7741,45.3045,6885414.0
2000-02-14,44.95,45.7465,44.9058,45.0605,7187861.0
2000-02-15,45.0605,45.4813,44.1995,44.1995,12021352.0
2000-02-16,44.752,45.7465,44.531,45.5255,10925729.0
2000-02-17,45.9675,48.707,45.9675,47.5145,22672871.0
2000-02-18,48.1103,48.288,46.962,47.5808,9418202.0
2000-02-21,47.183,47.5808,46.962,47.2935,6448441.0
2000-02-22,47.3156,47.6683,46.962,47.4473,8807969.0
