date,open,high,low,close,volume
2000-01-04,628.796,635.674,605.217,617.007,207861.0
2000-01-05,602.269,611.112,584.584,588.514,221542.0
2000-01-06,587.532,597.357,575.742,581.637,187687.0
2000-01-07,577.707,578.689,561.987,578.689,355975.0
2000-01-10,594.409,606.199,590.479,590.479,296977.0
2000-01-11,590.479,592.444,572.794,574.759,247903.0
2000-01-12,569.847,582.619,568.864,581.637,174697.0
2000-01-13,583.602,592.444,578.689,583.602,158053.0
2000-01-14,593.427,601.287,583.602,590.479,201628.0
2000-01-17,604.234,620.937,599.322,617.007,273030.0
2000-01-18,620.937,643.534,620.937,642.551,411939.0
2000-01-19,638.621,639.604,615.042,627.814,283429.0
2000-01-20,632.726,633.709,606.199,610.129,193656.0
2000-01-21,598.339,616.024,598.339,610.129,137982.0
2000-01-24,610.129,623.884,595.392,599.322,164310.0
2000-01-25,589.497,595.392,575.742,576.724,128276.0
2000-01-26,581.637,604.234,581.637,599.322,155680.0
2000-01-27,606.199,614.059,600.304,604.234,84866.0
2000-01-28,608.164,610.129,595.392,601.287,67445.0
2000-01-31,596.374,599.322,575.742,575.742,152729.0
2000-02-01,586.549,593.427,562.969,566.899,209045.0
2000-02-02,570.829,572.794,545.284,557.074,313833.0
2000-02-03,563.952,578.689,553.144,558.057,267525.0
2000-02-04,565.917,578.689,564.934,577.707,264930.0
2000-02-07,577.707,605.217,576.724,600.304,236751.0
2000-02-08,607.182,615.042,595.392,597.357,159607.0
2000-02-09,603.252,605.217,574.759,574.759,218397.0
2000-02-10,572.794,583.602,567.882,574.759,191591.0
2000-02-11,585.567,586.549,565.917,567.882,209555.0
2000-02-14,569.847,580.654,569.847,580.654,80436.0
2000-02-15,577.707,582.619,569.847,569.847,87664.0
2000-02-16,579.672,581.637,548.232,564.934,276526.0
2000-02-17,566.899,570.829,545.284,550.197,210123.0
2000-02-18,550.197,558.057,535.459,540.372,187303.0
2000-02-21,535.459,541.354,523.67,528.582,179369.0
2000-02-22,533.495,543.319,529.565,534.477,183964.0
2000-02-23,539.389,550.197,538.407,539.389,181158.0
2000-02-24,546.267,549.214,528.582,535.459,126121.0
2000-02-25,546.267,558.057,539.389,547.249,261895.0
2000-02-28,549.214,559.039,532.512,535.459,121845.0
2000-02-29,544.302,545.284,534.477,534.477,89604.0
2000-03-01,544.302,548.232,523.67,538.407,242899.0
2000-03-02,574.759,613.077,563.952,611.112,921802.0
2000-03-03,630.761,708.379,630.761,679.886,1685984.0
2000-03-06,707.396,732.941,679.886,698.554,619883.0
2000-03-07,695.606,729.993,674.974,682.834,552986.0
2000-03-08,676.939,697.571,666.131,671.044,245577.0
2000-03-09,683.816,706.414,682.834,693.641,349522.0
2000-03-10,716.239,740.801,702.484,722.133,559917.0
2000-03-13,712.308,715.256,674.974,687.746,242467.0
2000-03-14,691.676,695.606,673.009,685.781,112128.0
2000-03-15,674.974,674.974,649.429,658.271,182685.0
2000-03-16,663.184,667.114,653.359,662.201,151937.0
2000-03-17,687.746,687.746,652.376,657.289,219811.0
2000-03-20,671.044,695.606,670.061,691.676,165667.0
2000-03-21,690.694,694.624,665.149,681.851,155382.0
2000-03-22,702.484,706.414,654.341,674.974,280143.0
2000-03-23,676.939,676.939,643.534,658.271,300682.0
2000-03-24,662.201,663.184,640.586,661.219,145221.0
2000-03-27,655.324,667.114,646.481,653.359,92759.0
2000-03-28,657.289,673.009,650.411,652.376,187458.0
2000-03-29,653.359,666.131,648.446,654.341,99049.0
2000-03-30,648.446,653.359,629.779,637.639,184331.0
2000-03-31,628.796,641.569,623.884,626.831,167881.0
2000-04-03,637.639,637.639,581.637,596.374,386478.0
2000-04-04,591.462,597.357,566.899,577.707,393791.0
2000-04-05,572.794,593.427,557.074,575.742,316241.0
2000-04-06,585.567,613.077,585.567,610.129,317664.0
2000-04-07,622.901,626.831,607.182,608.164,92517.0
2000-04-10,615.042,619.954,610.129,618.971,76652.0
2000-04-11,607.182,609.147,584.584,598.339,154307.0
2000-04-12,598.339,599.322,578.689,595.392,185063.0
2000-04-13,597.357,620.937,590.479,604.234,349013.0
2000-04-14,600.304,604.234,583.602,584.584,174112.0
2000-04-17,555.109,578.689,543.319,566.899,282259.0
2000-04-18,588.514,593.427,567.882,574.759,171193.0
2000-04-19,587.532,589.497,569.847,576.724,118398.0
2000-04-20,569.847,603.252,562.969,603.252,176014.0
2000-04-21,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,604.234,604.234,573.777,577.707,178589.0
2000-04-26,589.497,600.304,581.637,596.374,166055.0
2000-04-27,589.497,604.234,580.654,590.479,135558.0
2000-04-28,602.269,607.182,595.392,597.357,96936.0
2000-05-01,0.0,0.0,0.0,0.0,0.0
2000-05-02,605.217,616.024,600.304,603.252,129909.0
2000-05-03,598.339,615.042,594.409,606.199,110901.0
2000-05-04,599.322,607.182,598.339,603.252,78840.0
2000-05-05,609.147,609.147,600.304,606.199,78565.0
2000-05-08,604.234,610.129,587.532,595.392,141389.0
2000-05-09,595.392,602.269,576.724,579.672,210707.0
2000-05-10,576.724,583.602,565.917,570.829,203304.0
2000-05-11,564.934,588.514,562.969,583.602,137523.0
2000-05-12,589.497,599.322,584.584,590.479,98080.0
