date,close,open,low,high,volume
2009-04-21,15.055,15.968,14.930,16.034,533209
2009-04-22,16.300,15.204,15.204,16.308,541189
2009-04-23,16.184,16.349,16.134,16.349,782684
2009-04-24,16.399,16.018,16.018,16.399,363593
2009-04-27,16.482,16.399,16.184,16.532,164217
2009-04-28,15.860,16.042,15.536,16.042,298794
2009-04-29,16.764,16.150,15.852,16.864,477230
2009-04-30,17.262,16.930,16.930,17.445,326693
2009-05-04,18.258,17.412,17.312,18.258,488330
2009-05-05,18.756,18.225,18.225,19.487,826363
2009-05-06,18.474,18.756,18.341,18.922,1053579
2009-05-07,18.507,18.491,18.424,18.972,674567
2009-05-08,18.325,18.474,17.943,18.740,506450
2009-05-11,18.126,18.258,17.843,18.424,558889
2009-05-12,17.993,17.910,17.860,18.175,267295
2009-05-13,17.013,17.893,16.947,17.926,750885
2009-05-14,17.096,17.013,16.665,17.179,420052
2009-05-15,16.964,17.296,16.897,17.296,390352
2009-05-18,17.428,16.980,16.930,17.495,639767
2009-05-19,18.557,17.428,17.395,18.590,822884
2009-05-20,18.258,18.557,18.026,18.756,679906
2009-05-22,18.043,18.209,17.960,18.209,201836
2009-05-25,18.159,17.926,17.926,18.258,113158
2009-05-26,18.258,17.976,17.727,18.391,458331
2009-05-27,18.258,18.076,18.076,18.258,296874
2009-05-28,17.843,18.009,17.843,18.175,288294
2009-05-29,18.258,18.009,17.943,18.491,633707
2009-06-02,19.088,18.640,18.540,19.155,409012
2009-06-03,19.619,19.238,19.238,19.819,765945
2009-06-04,19.420,19.819,19.420,19.819,514910
2009-06-05,19.453,19.636,19.453,19.653,325013
2009-06-08,19.420,19.570,19.354,19.586,870583
2009-06-09,19.354,19.503,19.221,19.586,1067019
2009-06-10,19.785,19.503,19.503,20.018,606828
2009-06-11,19.785,19.769,19.586,19.918,502730
2009-06-12,20.084,19.885,19.752,20.283,657347
2009-06-15,19.868,20.200,19.785,20.250,343613
2009-06-16,19.055,20.084,19.005,20.084,499070
2009-06-17,18.906,18.906,18.773,19.088,465411
2009-06-18,18.823,18.789,18.540,19.022,270955
2009-06-19,19.055,18.922,18.557,19.155,384112
2009-06-22,18.076,18.939,17.943,18.939,473511
2009-06-23,18.258,17.926,17.727,18.424,506750
2009-06-24,18.424,18.391,18.059,18.590,425871
2009-06-25,18.474,18.524,18.275,18.756,304554
2009-06-26,18.723,18.474,18.457,18.989,220556
2009-06-29,19.055,18.623,18.623,19.188,224876
2009-06-30,20.018,19.287,19.171,20.034,534169
2009-07-01,19.752,19.918,19.619,20.034,494810
2009-07-02,19.437,19.619,19.238,19.752,500630
2009-07-03,19.105,19.387,18.955,19.387,221456
2009-07-06,18.872,18.955,18.690,19.072,275514
2009-07-07,18.756,18.922,18.640,18.922,314394
2009-07-08,18.242,18.590,18.159,18.756,355313
2009-07-09,18.474,18.258,18.175,18.789,415492
2009-07-10,18.341,18.424,18.192,18.590,208316
2009-07-13,18.574,18.159,18.159,18.574,215336
2009-07-14,18.491,18.723,18.225,18.773,250735
2009-07-15,19.005,18.756,18.607,19.171,216596
2009-07-16,19.503,18.906,18.889,19.586,526489
2009-07-17,19.686,19.636,19.487,19.819,167637
2009-07-20,20.034,19.669,19.669,20.234,226615
2009-07-21,20.184,20.001,20.001,20.283,189236
2009-07-22,20.416,20.283,20.051,20.532,402232
2009-07-23,21.528,20.549,20.499,21.678,517790
2009-07-24,20.748,21.478,20.715,21.478,321534
2009-07-27,21.412,21.113,21.063,21.478,429831
2009-07-28,21.163,21.462,21.113,21.545,349913
2009-07-29,21.130,21.014,21.014,21.296,309894
2009-07-30,21.329,21.279,21.063,21.578,498890
2009-07-31,21.229,21.478,20.798,21.478,1133857
2009-08-03,22.126,21.163,21.163,22.541,841723
2009-08-04,21.993,21.694,21.694,22.325,574429
2009-08-05,22.159,22.059,21.993,22.591,512150
2009-08-06,22.209,22.093,22.093,22.574,389632
2009-08-07,22.159,22.026,21.794,22.242,272875
2009-08-10,22.076,21.976,21.794,22.342,285174
2009-08-11,21.661,22.225,21.595,22.225,235555
2009-08-12,22.010,21.578,21.362,22.109,298194
2009-08-13,22.176,22.159,21.810,22.292,243655
2009-08-14,21.993,22.391,21.993,22.773,403372
2009-08-17,21.412,22.159,21.412,22.159,169797
2009-08-18,21.495,21.246,21.213,21.744,187196
2009-08-19,21.445,21.379,21.080,21.578,195776
2009-08-20,22.408,21.578,21.578,22.723,272395
2009-08-21,22.773,22.259,22.242,22.906,302814
2009-08-24,23.254,23.138,22.989,23.736,833083
2009-08-25,23.205,23.188,23.088,23.570,296574
2009-08-26,22.425,23.304,21.993,23.304,357773
2009-08-27,22.225,22.425,21.976,22.740,720286
2009-08-28,22.491,22.541,22.043,22.541,448371
2009-08-31,22.308,22.707,22.126,22.707,195776
2009-09-01,22.209,22.408,21.893,22.458,303354
2009-09-02,21.661,22.043,21.512,22.209,220076
2009-09-03,21.661,21.777,21.412,21.777,401812
2009-09-04,22.225,21.578,21.578,22.640,338513
2009-09-07,22.773,22.342,22.325,23.072,223136
2009-09-08,22.591,22.922,22.391,23.055,212156
2009-09-09,23.039,22.491,22.491,23.039,302874
