date,open,high,low,close,volume
2000-01-04,468.399,468.914,460.66,462.208,37318.0
2000-01-05,456.533,463.239,445.7,447.248,54766.0
2000-01-06,441.058,451.891,440.542,450.859,78834.0
2000-01-07,450.344,466.851,450.344,466.851,77914.0
2000-01-10,469.946,473.041,456.018,456.018,48107.0
2000-01-11,457.05,459.629,442.605,445.7,70175.0
2000-01-12,444.153,445.7,438.478,441.574,48562.0
2000-01-13,440.026,450.344,440.026,450.344,66850.0
2000-01-14,450.344,463.239,449.311,463.239,49733.0
2000-01-17,461.692,470.462,457.565,467.882,92991.0
2000-01-18,467.882,469.43,456.533,461.176,59530.0
2000-01-19,460.66,468.914,459.113,464.787,73873.0
2000-01-20,464.272,467.366,461.692,463.756,47166.0
2000-01-21,454.986,469.43,454.986,465.819,58604.0
2000-01-24,467.366,469.43,452.407,452.407,44926.0
2000-01-25,454.47,460.145,438.478,448.28,34971.0
2000-01-26,453.954,453.954,442.09,451.375,66647.0
2000-01-27,451.891,459.629,451.375,454.986,32080.0
2000-01-28,454.986,459.629,446.732,452.407,48603.0
2000-01-31,449.827,453.954,435.899,441.058,65113.0
2000-02-01,446.217,450.859,432.804,435.384,48702.0
2000-02-02,437.447,440.026,434.868,438.994,34579.0
2000-02-03,438.478,452.923,434.351,443.121,77897.0
2000-02-04,445.7,447.248,436.415,437.447,35168.0
2000-02-07,438.994,442.09,427.13,427.13,40800.0
2000-02-08,431.772,435.899,420.939,427.13,49427.0
2000-02-09,429.709,433.32,416.812,422.487,45040.0
2000-02-10,417.329,424.035,413.202,419.392,39253.0
2000-02-11,420.939,422.487,413.717,421.456,28165.0
2000-02-14,420.423,421.456,411.138,418.876,29154.0
2000-02-15,417.329,420.939,407.527,415.265,42490.0
2000-02-16,416.297,423.519,413.202,420.423,56132.0
2000-02-17,418.36,428.162,415.781,419.392,59804.0
2000-02-18,420.939,424.035,420.423,423.003,77464.0
2000-02-21,420.939,425.066,418.36,423.003,43588.0
2000-02-22,424.55,434.351,423.519,429.709,54676.0
2000-02-23,430.225,432.804,427.13,430.225,29521.0
2000-02-24,430.225,432.804,424.55,432.804,33314.0
2000-02-25,432.288,435.384,427.13,431.257,36549.0
2000-02-28,430.741,433.32,423.519,429.193,29321.0
2000-02-29,430.225,430.741,426.098,426.614,43815.0
2000-03-01,430.225,431.257,428.162,430.741,15922.0
2000-03-02,429.709,435.899,425.066,434.351,34717.0
2000-03-03,434.351,436.415,433.32,434.351,25598.0
2000-03-06,432.804,442.605,430.225,441.058,67038.0
2000-03-07,440.542,442.605,436.931,440.542,31945.0
2000-03-08,435.899,442.605,435.384,441.058,45740.0
2000-03-09,441.574,447.248,440.542,443.637,68994.0
2000-03-10,445.185,446.217,438.994,444.669,44192.0
2000-03-13,443.637,445.7,439.51,444.153,41963.0
2000-03-14,444.669,448.28,443.637,444.669,25027.0
2000-03-15,443.121,447.248,441.058,447.248,15540.0
2000-03-16,447.248,456.018,444.669,452.407,56425.0
2000-03-17,461.692,461.692,451.375,453.954,127975.0
2000-03-20,453.954,458.081,452.923,456.018,22207.0
2000-03-21,454.986,461.692,453.438,460.66,62739.0
2000-03-22,462.208,465.303,458.081,465.303,93688.0
2000-03-23,463.756,465.819,459.629,464.272,89832.0
2000-03-24,464.787,465.819,462.724,464.787,43750.0
2000-03-27,463.756,466.851,462.724,465.303,27680.0
2000-03-28,464.272,466.851,462.208,464.272,41478.0
2000-03-29,464.272,464.787,461.692,464.787,36328.0
2000-03-30,465.303,467.366,462.724,467.366,36373.0
2000-03-31,467.366,476.652,466.335,472.009,109790.0
2000-04-03,477.168,478.715,469.43,477.168,75680.0
2000-04-04,478.715,480.779,475.62,479.747,94951.0
2000-04-05,479.232,480.779,477.168,480.263,80094.0
2000-04-06,480.779,481.811,479.232,481.811,111897.0
2000-04-07,481.295,482.326,479.232,482.326,82075.0
2000-04-10,480.779,483.358,478.715,479.232,100743.0
2000-04-11,478.715,480.779,478.715,479.747,69835.0
2000-04-12,480.263,485.938,479.232,484.906,62030.0
2000-04-13,483.358,484.906,481.295,482.326,40065.0
2000-04-14,480.263,485.421,479.747,482.326,102882.0
2000-04-17,472.525,478.2,470.462,475.62,114945.0
2000-04-18,478.2,478.2,474.588,477.168,236742.0
2000-04-19,477.684,479.747,474.588,478.2,125649.0
2000-04-20,477.168,478.2,475.105,476.652,29474.0
2000-04-21,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,476.652,478.715,469.43,474.588,42763.0
2000-04-26,474.588,476.136,472.009,473.557,24048.0
2000-04-27,472.525,472.525,456.533,466.851,58317.0
2000-04-28,465.819,472.525,463.756,470.978,52516.0
2000-05-01,0.0,0.0,0.0,0.0,0.0
2000-05-02,469.946,475.105,467.366,474.588,76951.0
2000-05-03,473.041,475.62,472.525,474.588,40643.0
2000-05-04,473.557,475.105,473.041,475.105,35732.0
2000-05-05,475.105,475.105,473.557,474.588,27707.0
2000-05-08,473.041,477.168,472.009,477.168,41311.0
2000-05-09,478.715,481.811,476.136,478.2,34279.0
2000-05-10,476.136,478.2,472.525,474.588,28310.0
2000-05-11,473.557,480.263,473.557,479.747,53114.0
2000-05-12,479.232,481.295,478.2,480.779,21164.0
2000-05-15,481.295,483.358,478.2,481.295,68215.0
2000-05-16,482.326,493.16,481.811,491.096,141876.0
2000-05-17,490.58,492.127,487.485,490.064,50326.0
2000-05-18,488.517,503.993,488.517,500.381,186569.0
2000-05-19,503.993,503.993,496.771,500.381,70143.0
2000-05-22,500.381,502.961,497.802,499.866,85722.0
2000-05-23,501.413,503.993,499.35,502.961,39455.0
2000-05-24,501.929,503.993,499.866,501.413,33665.0
2000-05-25,502.445,502.961,497.802,499.866,54968.0
2000-05-26,498.834,501.929,497.802,500.897,96836.0
2000-05-29,501.929,505.024,500.897,502.961,22608.0
2000-05-30,501.413,502.961,498.834,501.929,52422.0
2000-05-31,502.961,503.477,498.834,500.381,17049.0
2000-06-01,502.961,503.477,498.834,500.381,20892.0
2000-06-02,500.897,505.024,497.802,500.381,23687.0
2000-06-05,502.445,502.445,497.287,501.929,29770.0
2000-06-06,502.961,503.477,498.834,499.866,35894.0
2000-06-07,500.897,516.888,499.866,516.373,274446.0
2000-06-08,518.436,523.079,512.762,514.309,161576.0
2000-06-09,513.794,515.341,500.897,502.961,62531.0
2000-06-12,0.0,0.0,0.0,0.0,0.0
2000-06-13,503.477,503.993,500.897,502.961,63246.0
2000-06-14,498.318,501.929,495.739,501.413,41251.0
2000-06-15,501.929,504.508,498.834,501.929,45693.0
2000-06-16,502.961,505.024,499.866,502.445,95404.0
2000-06-19,502.445,503.993,496.254,503.993,49581.0
2000-06-20,503.477,504.508,501.413,502.961,20305.0
2000-06-21,502.961,505.54,501.413,503.477,22479.0
2000-06-22,501.929,503.993,501.413,502.445,51774.0
2000-06-23,502.961,503.477,500.897,503.477,47897.0
2000-06-26,501.929,503.993,501.929,502.961,18378.0
2000-06-27,502.445,503.477,501.413,502.445,55560.0
2000-06-28,502.961,503.993,499.866,502.961,39472.0
2000-06-29,502.961,503.477,501.929,502.445,24390.0
2000-06-30,502.445,503.993,501.929,502.961,24464.0
2000-07-03,502.961,503.477,502.445,502.961,49052.0
2000-07-04,502.445,516.373,502.445,514.309,131971.0
2000-07-05,516.373,538.555,516.373,532.881,288538.0
2000-07-06,533.912,557.126,533.396,545.777,326003.0
2000-07-07,545.261,546.809,540.618,544.745,123191.0
2000-07-10,551.967,555.578,543.714,543.714,140438.0
2000-07-11,535.46,564.864,527.206,562.284,325451.0
2000-07-12,563.832,597.363,560.737,585.498,378223.0
2000-07-13,590.657,689.185,588.077,688.669,961734.0
2000-07-14,674.225,732.0,662.876,667.519,1655131.0
2000-07-17,679.384,696.407,672.678,680.931,482928.0
2000-07-18,680.931,686.09,677.836,678.868,233512.0
2000-07-19,676.289,679.9,673.709,675.257,124419.0
2000-07-20,673.709,701.05,673.709,691.249,247644.0
2000-07-21,698.986,702.597,689.185,698.47,201333.0
2000-07-24,695.891,695.891,682.479,685.574,117529.0
2000-07-25,692.28,695.376,665.456,671.13,143131.0
2000-07-26,662.361,665.456,652.043,665.456,200875.0
2000-07-27,662.361,665.972,652.043,662.361,84211.0
2000-07-28,662.876,663.908,650.496,654.623,87412.0
2000-07-31,654.623,655.139,639.663,655.139,63085.0
2000-08-01,0.0,0.0,0.0,0.0,0.0
2000-08-02,652.559,658.234,652.559,657.202,26731.0
2000-08-03,655.654,682.995,651.012,669.067,96193.0
2000-08-04,676.804,691.249,668.035,669.582,125961.0
2000-08-07,673.194,680.931,670.615,676.804,53558.0
2000-08-08,675.773,680.416,666.488,676.804,42837.0
2000-08-09,676.804,680.931,670.615,673.194,42747.0
2000-08-10,670.615,676.804,667.003,668.035,23871.0
2000-08-11,670.615,670.615,656.17,662.876,52022.0
2000-08-14,660.297,669.582,660.297,665.456,18747.0
2000-08-15,663.392,665.456,655.139,656.17,29378.0
2000-08-16,657.718,667.519,657.718,662.876,67957.0
2000-08-17,665.456,676.289,664.94,670.615,62982.0
2000-08-18,670.615,677.836,666.488,669.067,52908.0
2000-08-21,666.488,669.067,657.718,668.035,45224.0
2000-08-22,667.519,671.646,660.813,662.876,29706.0
2000-08-23,664.94,668.551,660.297,663.392,33493.0
2000-08-24,664.94,667.003,661.845,663.392,38524.0
2000-08-25,662.361,680.931,660.813,672.162,113280.0
2000-08-28,674.225,691.249,673.194,688.669,121131.0
2000-08-29,689.701,691.764,668.035,676.804,111050.0
2000-08-30,673.194,691.249,665.456,681.963,166307.0
2000-08-31,681.447,695.376,681.447,691.764,158612.0
2000-09-01,696.407,699.503,689.185,692.796,109887.0
2000-09-04,695.891,714.462,691.249,714.462,186703.0
2000-09-05,718.073,721.169,708.272,719.108,152491.0
2000-09-06,718.591,720.652,709.819,712.399,63136.0
2000-09-07,715.494,772.753,711.367,768.63,451584.0
2000-09-08,770.174,783.584,740.253,744.9,340965.0
2000-09-11,742.831,752.118,732.0,747.995,80938.0
2000-09-12,745.417,767.596,741.287,759.861,195248.0
2000-09-13,760.888,766.562,736.13,737.157,81301.0
2000-09-14,738.709,747.995,729.939,733.035,69004.0
2000-09-15,729.939,734.579,720.135,725.809,209056.0
2000-09-18,721.687,721.687,699.503,704.145,165380.0
2000-09-19,708.272,723.748,701.566,714.462,131265.0
2000-09-20,714.978,730.456,707.756,719.108,121881.0
2000-09-21,719.618,728.388,714.462,720.135,114733.0
2000-09-22,714.978,726.844,710.851,722.714,164614.0
2000-09-25,723.231,725.809,709.304,711.883,96374.0
2000-09-26,711.883,717.041,706.209,709.819,125192.0
2000-09-27,717.557,722.197,705.692,705.692,88320.0
2000-09-28,706.724,719.618,688.669,702.082,78284.0
2000-09-29,702.082,710.851,693.828,706.724,123223.0
2000-10-02,705.692,719.618,705.692,712.399,101821.0
2000-10-03,713.43,717.041,703.113,704.661,90425.0
2000-10-04,705.692,708.788,699.503,701.566,30315.0
2000-10-05,701.566,710.851,699.503,706.724,54072.0
2000-10-06,706.724,710.851,702.597,704.145,64666.0
2000-10-09,704.145,706.724,701.566,706.209,49937.0
2000-10-10,704.661,711.367,703.113,707.756,39870.0
2000-10-11,706.209,709.819,696.407,696.923,65251.0
2000-10-12,699.503,701.05,681.963,692.796,49852.0
2000-10-13,691.249,697.439,678.352,691.249,75331.0
2000-10-16,699.503,706.209,694.344,699.503,101534.0
2000-10-17,697.955,702.082,690.217,693.828,41899.0
2000-10-18,690.733,706.724,685.058,698.986,69588.0
2000-10-19,702.082,711.883,700.018,703.113,99039.0
2000-10-20,705.177,722.197,703.113,711.883,152486.0
2000-10-23,712.399,724.782,712.399,719.108,130299.0
2000-10-24,719.108,727.878,717.041,726.326,176004.0
2000-10-25,727.361,737.674,719.618,726.326,190429.0
2000-10-26,724.265,726.326,718.591,718.591,74768.0
2000-10-27,721.687,724.782,709.304,714.462,125192.0
2000-10-30,716.525,725.292,716.01,721.687,88154.0
2000-10-31,723.748,725.809,719.618,721.169,65003.0
2000-11-01,722.197,729.939,721.169,727.361,77110.0
2000-11-02,727.361,731.483,722.197,726.326,43551.0
2000-11-03,726.844,731.483,718.073,718.591,50454.0
2000-11-06,721.687,722.197,712.399,716.01,41973.0
2000-11-07,713.43,718.591,696.407,712.399,80929.0
2000-11-08,715.494,717.041,706.724,714.462,33410.0
