date,open,high,low,close,volume
2000-01-04,175.069,175.069,163.955,167.004,380953.0
2000-01-05,161.398,163.266,159.627,161.004,295302.0
2000-01-06,160.021,163.463,160.021,162.283,309771.0
2000-01-07,160.906,164.348,160.906,163.562,200959.0
2000-01-10,166.217,169.168,164.25,166.709,237602.0
2000-01-11,167.201,168.184,164.742,167.692,163756.0
2000-01-12,167.004,167.004,164.053,165.43,121155.0
2000-01-13,165.824,167.496,165.725,167.201,135684.0
2000-01-14,167.201,174.577,167.201,174.577,266762.0
2000-01-17,175.069,175.069,170.643,171.233,109035.0
2000-01-18,170.643,172.118,169.364,170.643,116518.0
2000-01-19,171.725,171.922,163.266,163.266,204050.0
2000-01-20,163.266,165.135,157.857,157.857,252894.0
2000-01-21,157.365,166.807,156.775,163.266,435643.0
2000-01-24,165.234,167.201,160.316,161.791,240642.0
2000-01-25,160.906,162.086,158.546,158.546,189714.0
2000-01-26,159.922,164.152,159.922,160.906,218518.0
2000-01-27,162.283,166.709,162.283,166.119,93367.0
2000-01-28,169.168,171.922,168.184,170.545,250301.0
2000-01-31,170.938,170.938,165.234,165.234,101643.0
2000-02-01,166.02,166.61,161.299,163.07,277143.0
2000-02-02,164.643,165.43,159.922,161.594,180370.0
2000-02-03,165.43,167.496,162.381,164.25,128892.0
2000-02-04,164.348,164.348,157.365,157.365,147681.0
2000-02-07,159.431,162.775,157.464,161.594,174991.0
2000-02-08,161.398,166.414,161.398,164.053,160360.0
2000-02-09,164.25,171.331,161.201,162.48,295323.0
2000-02-10,161.791,162.48,155.988,157.267,263031.0
2000-02-11,162.971,163.562,155.103,156.382,381024.0
2000-02-14,158.349,160.316,156.382,158.546,244648.0
2000-02-15,161.791,169.955,161.693,165.627,249976.0
2000-02-16,169.659,174.872,169.168,174.872,389097.0
2000-02-17,175.069,176.839,172.315,175.954,188981.0
2000-02-18,176.839,177.036,172.118,172.118,122466.0
2000-02-21,169.856,170.643,163.758,165.234,100444.0
2000-02-22,164.25,168.184,159.529,159.431,167203.0
2000-02-23,162.775,162.775,160.316,162.578,78634.0
2000-02-24,167.397,171.922,166.709,170.643,153467.0
2000-02-25,172.118,176.052,172.118,172.118,151403.0
2000-02-28,174.577,174.872,167.889,169.659,63515.0
2000-02-29,169.659,176.446,167.201,176.446,154768.0
2000-03-01,174.085,175.561,170.643,170.938,91476.0
2000-03-02,172.61,173.987,172.118,173.397,73988.0
2000-03-03,172.217,173.299,170.151,172.118,80058.0
2000-03-06,175.266,175.266,169.266,174.085,151677.0
2000-03-07,173.987,175.364,170.151,170.151,231298.0
2000-03-08,171.626,171.626,167.397,168.184,72371.0
2000-03-09,170.643,170.643,164.545,165.135,91425.0
2000-03-10,167.201,170.348,165.234,168.282,202433.0
2000-03-13,169.955,170.151,166.217,167.594,131373.0
2000-03-14,168.282,176.544,168.282,174.38,193964.0
2000-03-15,175.069,175.561,170.938,171.43,122802.0
2000-03-16,174.577,177.921,172.118,175.856,231715.0
2000-03-17,179.495,181.954,176.151,176.839,332749.0
2000-03-20,181.757,191.494,181.757,186.084,328224.0
2000-03-21,188.838,191.297,186.38,189.428,339124.0
2000-03-22,193.658,194.248,186.871,191.887,149359.0
2000-03-23,192.576,194.74,188.642,189.92,154697.0
2000-03-24,189.33,197.1,188.838,192.969,250078.0
2000-03-27,195.526,198.87,194.936,196.215,188046.0
2000-03-28,195.723,196.215,188.937,189.035,183999.0
2000-03-29,189.33,189.724,184.904,187.363,174412.0
2000-03-30,187.855,187.855,177.528,184.904,246316.0
