date,close,open,low,high
19-Apr-2000,19.3829,19.3829,19.3829,19.3829
20-Apr-2000,18.4884,18.4884,18.4884,18.4884
25-Apr-2000,19.1113,19.1113,19.1113,19.1113
26-Apr-2000,19.2527,19.2527,19.2527,19.2527
27-Apr-2000,20.1432,20.1432,20.1432,20.1432
28-Apr-2000,19.2939,19.2939,19.2939,19.2939
02-May-2000,20.0135,20.0135,20.0135,20.0135
03-May-2000,20.3540,20.3540,20.3540,20.3540
04-May-2000,20.7047,20.7047,20.7047,20.7047
05-May-2000,19.4216,19.4216,19.4216,19.4216
08-May-2000,19.8685,19.8685,19.8685,19.8685
09-May-2000,20.2939,20.2939,20.2939,20.2939
10-May-2000,20.2408,20.2408,20.2408,20.2408
11-May-2000,19.3481,19.3481,19.3481,19.3481
12-May-2000,18.4884,18.4884,18.4884,18.4884
15-May-2000,19.2658,19.2658,19.2658,19.2658
16-May-2000,18.5112,18.5112,18.5112,18.5112
17-May-2000,18.7207,18.7207,18.7207,18.7207
18-May-2000,17.8217,17.8217,17.8217,17.8217
19-May-2000,18.5431,18.5431,18.5431,18.5431
22-May-2000,19.2779,19.2779,19.2779,19.2779
23-May-2000,18.1102,18.1102,18.1102,18.1102
24-May-2000,18.6216,18.6216,18.6216,18.6216
25-May-2000,17.2645,17.2645,17.2645,17.2645
26-May-2000,17.4938,17.4938,17.4938,17.4938
29-May-2000,17.2031,17.2031,17.2031,17.2031
30-May-2000,16.9390,16.9390,16.9390,16.9390
31-May-2000,17.0019,17.0019,17.0019,17.0019
01-Jun-2000,17.3062,17.3062,17.3062,17.3062
02-Jun-2000,15.7691,15.7691,15.7691,15.7691
05-Jun-2000,16.4497,16.4497,16.4497,16.4497
06-Jun-2000,16.6449,16.6449,16.6449,16.6449
07-Jun-2000,16.6819,16.6819,16.6819,16.6819
08-Jun-2000,16.6739,16.6739,16.6739,16.6739
09-Jun-2000,16.0229,16.0229,16.0229,16.0229
12-Jun-2000,16.8106,16.8106,16.8106,16.8106
13-Jun-2000,16.6319,16.6319,16.6319,16.6319
14-Jun-2000,16.0640,16.0640,16.0640,16.0640
15-Jun-2000,15.7175,15.7175,15.7175,15.7175
16-Jun-2000,14.7511,14.7511,14.7511,14.7511
19-Jun-2000,15.1346,15.1346,15.1346,15.1346
20-Jun-2000,15.0874,15.0874,15.0874,15.0874
21-Jun-2000,15.3836,15.3836,15.3836,15.3836
22-Jun-2000,16.0994,16.0994,16.0994,16.0994
23-Jun-2000,15.9512,15.9512,15.9512,15.9512
26-Jun-2000,16.0756,16.0756,16.0756,16.0756
27-Jun-2000,15.9322,15.9322,15.9322,15.9322
28-Jun-2000,15.4868,15.4868,15.4868,15.4868
29-Jun-2000,15.1648,15.1648,15.1648,15.1648
30-Jun-2000,15.2890,15.2890,15.2890,15.2890
03-Jul-2000,15.1739,15.1739,15.1739,15.1739
04-Jul-2000,14.9922,14.9922,14.9922,14.9922
05-Jul-2000,15.0667,15.0667,15.0667,15.0667
06-Jul-2000,14.8155,14.8155,14.8155,14.8155
07-Jul-2000,14.6899,14.6899,14.6899,14.6899
10-Jul-2000,14.9027,14.9027,14.9027,14.9027
11-Jul-2000,14.5209,14.5209,14.5209,14.5209
12-Jul-2000,14.7421,14.7421,14.7421,14.7421
13-Jul-2000,14.3231,14.3231,14.3231,14.3231
14-Jul-2000,13.8341,13.8341,13.8341,13.8341
17-Jul-2000,14.0386,14.0386,14.0386,14.0386
18-Jul-2000,14.1135,14.1135,14.1135,14.1135
19-Jul-2000,14.0189,14.0189,14.0189,14.0189
20-Jul-2000,13.8334,13.8334,13.8334,13.8334
21-Jul-2000,13.1526,13.1526,13.1526,13.1526
24-Jul-2000,13.4012,13.4012,13.4012,13.4012
25-Jul-2000,13.2601,13.2601,13.2601,13.2601
26-Jul-2000,13.3436,13.3436,13.3436,13.3436
27-Jul-2000,13.6374,13.6374,13.6374,13.6374
28-Jul-2000,13.5649,13.5649,13.5649,13.5649
31-Jul-2000,14.1808,14.1808,14.1808,14.1808
01-Aug-2000,14.4561,14.4561,14.4561,14.4561
02-Aug-2000,13.6024,13.6024,13.6024,13.6024
03-Aug-2000,13.8542,13.8542,13.8542,13.8542
04-Aug-2000,13.8897,13.8897,13.8897,13.8897
07-Aug-2000,13.8232,13.8232,13.8232,13.8232
08-Aug-2000,13.5518,13.5518,13.5518,13.5518
09-Aug-2000,13.7482,13.7482,13.7482,13.7482
10-Aug-2000,14.2803,14.2803,14.2803,14.2803
11-Aug-2000,13.6002,13.6002,13.6002,13.6002
14-Aug-2000,13.8601,13.8601,13.8601,13.8601
15-Aug-2000,13.2845,13.2845,13.2845,13.2845
16-Aug-2000,12.8264,12.8264,12.8264,12.8264
17-Aug-2000,12.8768,12.8768,12.8768,12.8768
18-Aug-2000,12.5569,12.5569,12.5569,12.5569
21-Aug-2000,12.6708,12.6708,12.6708,12.6708
22-Aug-2000,12.8359,12.8359,12.8359,12.8359
23-Aug-2000,12.8150,12.8150,12.8150,12.8150
24-Aug-2000,12.8770,12.8770,12.8770,12.8770
25-Aug-2000,12.6700,12.6700,12.6700,12.6700
28-Aug-2000,12.6951,12.6951,12.6951,12.6951
29-Aug-2000,12.8965,12.8965,12.8965,12.8965
30-Aug-2000,13.6771,13.6771,13.6771,13.6771
31-Aug-2000,13.4409,13.4409,13.4409,13.4409
01-Sep-2000,13.0502,13.0502,13.0502,13.0502
04-Sep-2000,13.3776,13.3776,13.3776,13.3776
05-Sep-2000,13.3900,13.3900,13.3900,13.3900
06-Sep-2000,13.4380,13.4380,13.4380,13.4380
07-Sep-2000,13.2138,13.2138,13.2138,13.2138
08-Sep-2000,13.5089,13.5089,13.5089,13.5089
11-Sep-2000,13.4513,13.4513,13.4513,13.4513
12-Sep-2000,13.6648,13.6648,13.6648,13.6648
13-Sep-2000,13.9159,13.9159,13.9159,13.9159
14-Sep-2000,13.7266,13.7266,13.7266,13.7266
15-Sep-2000,13.0761,13.0761,13.0761,13.0761
18-Sep-2000,13.9851,13.9851,13.9851,13.9851
19-Sep-2000,14.6000,14.6000,14.6000,14.6000
20-Sep-2000,15.4789,15.4789,15.4789,15.4789
21-Sep-2000,17.4102,17.4102,17.4102,17.4102
22-Sep-2000,17.5725,17.5725,17.5725,17.5725
25-Sep-2000,16.3031,16.3031,16.3031,16.3031
26-Sep-2000,16.2991,16.2991,16.2991,16.2991
27-Sep-2000,16.0616,16.0616,16.0616,16.0616
28-Sep-2000,16.2661,16.2661,16.2661,16.2661
29-Sep-2000,16.0756,16.0756,16.0756,16.0756
02-Oct-2000,16.2724,16.2724,16.2724,16.2724
03-Oct-2000,16.0871,16.0871,16.0871,16.0871
04-Oct-2000,16.1282,16.1282,16.1282,16.1282
05-Oct-2000,16.0055,16.0055,16.0055,16.0055
06-Oct-2000,15.8347,15.8347,15.8347,15.8347
09-Oct-2000,17.3970,17.3970,17.3970,17.3970
10-Oct-2000,17.9641,17.9641,17.9641,17.9641
11-Oct-2000,20.0729,20.0729,20.0729,20.0729
12-Oct-2000,21.3092,21.3092,21.3092,21.3092
13-Oct-2000,21.4544,21.4544,21.4544,21.4544
16-Oct-2000,21.1242,21.1242,21.1242,21.1242
17-Oct-2000,20.6848,20.6848,20.6848,20.6848
18-Oct-2000,21.9866,21.9866,21.9866,21.9866
19-Oct-2000,21.1680,21.1680,21.1680,21.1680
20-Oct-2000,19.9402,19.9402,19.9402,19.9402
23-Oct-2000,19.6549,19.6549,19.6549,19.6549
24-Oct-2000,18.7204,18.7204,18.7204,18.7204
25-Oct-2000,18.8459,18.8459,18.8459,18.8459
26-Oct-2000,18.5114,18.5114,18.5114,18.5114
27-Oct-2000,17.8795,17.8795,17.8795,17.8795
30-Oct-2000,17.6066,17.6066,17.6066,17.6066
31-Oct-2000,16.5954,16.5954,16.5954,16.5954
01-Nov-2000,16.5163,16.5163,16.5163,16.5163
02-Nov-2000,16.1269,16.1269,16.1269,16.1269
03-Nov-2000,16.0176,16.0176,16.0176,16.0176
06-Nov-2000,15.9948,15.9948,15.9948,15.9948
07-Nov-2000,16.1857,16.1857,16.1857,16.1857
08-Nov-2000,16.0159,16.0159,16.0159,16.0159
09-Nov-2000,16.5810,16.5810,16.5810,16.5810
10-Nov-2000,16.6891,16.6891,16.6891,16.6891
13-Nov-2000,18.0059,18.0059,18.0059,18.0059
14-Nov-2000,16.7577,16.7577,16.7577,16.7577
15-Nov-2000,16.4039,16.4039,16.4039,16.4039
16-Nov-2000,15.8427,15.8427,15.8427,15.8427
17-Nov-2000,15.2057,15.2057,15.2057,15.2057
20-Nov-2000,15.8375,15.8375,15.8375,15.8375
21-Nov-2000,15.2965,15.2965,15.2965,15.2965
22-Nov-2000,16.6836,16.6836,16.6836,16.6836
23-Nov-2000,16.5100,16.5100,16.5100,16.5100
24-Nov-2000,15.7855,15.7855,15.7855,15.7855
27-Nov-2000,15.3852,15.3852,15.3852,15.3852
28-Nov-2000,15.6941,15.6941,15.6941,15.6941
29-Nov-2000,16.0694,16.0694,16.0694,16.0694
30-Nov-2000,16.9120,16.9120,16.9120,16.9120
01-Dec-2000,16.2412,16.2412,16.2412,16.2412
04-Dec-2000,17.0696,17.0696,17.0696,17.0696
05-Dec-2000,15.5945,15.5945,15.5945,15.5945
06-Dec-2000,15.8780,15.8780,15.8780,15.8780
07-Dec-2000,16.4397,16.4397,16.4397,16.4397
08-Dec-2000,15.6933,15.6933,15.6933,15.6933
11-Dec-2000,15.1668,15.1668,15.1668,15.1668
12-Dec-2000,15.0905,15.0905,15.0905,15.0905
13-Dec-2000,14.7027,14.7027,14.7027,14.7027
14-Dec-2000,15.3011,15.3011,15.3011,15.3011
15-Dec-2000,15.0806,15.0806,15.0806,15.0806
18-Dec-2000,14.4586,14.4586,14.4586,14.4586
19-Dec-2000,14.6439,14.6439,14.6439,14.6439
20-Dec-2000,16.6462,16.6462,16.6462,16.6462
21-Dec-2000,16.9727,16.9727,16.9727,16.9727
22-Dec-2000,16.0121,16.0121,16.0121,16.0121
27-Dec-2000,15.7397,15.7397,15.7397,15.7397
28-Dec-2000,14.9142,14.9142,14.9142,14.9142
29-Dec-2000,14.4780,14.4780,14.4780,14.4780
02-Jan-2001,15.6585,15.6585,15.6585,15.6585
03-Jan-2001,16.2258,16.2258,16.2258,16.2258
04-Jan-2001,15.5210,15.5210,15.5210,15.5210
05-Jan-2001,15.7546,15.7546,15.7546,15.7546
08-Jan-2001,16.1823,16.1823,16.1823,16.1823
09-Jan-2001,15.8061,15.8061,15.8061,15.8061
10-Jan-2001,16.1629,16.1629,16.1629,16.1629
11-Jan-2001,15.2611,15.2611,15.2611,15.2611
12-Jan-2001,14.2504,14.2504,14.2504,14.2504
15-Jan-2001,14.6171,14.6171,14.6171,14.6171
16-Jan-2001,14.7431,14.7431,14.7431,14.7431
17-Jan-2001,14.0069,14.0069,14.0069,14.0069
18-Jan-2001,14.0957,14.0957,14.0957,14.0957
19-Jan-2001,13.8077,13.8077,13.8077,13.8077
22-Jan-2001,14.1205,14.1205,14.1205,14.1205
23-Jan-2001,13.9152,13.9152,13.9152,13.9152
24-Jan-2001,13.3995,13.3995,13.3995,13.3995
25-Jan-2001,13.5163,13.5163,13.5163,13.5163
26-Jan-2001,13.0814,13.0814,13.0814,13.0814
29-Jan-2001,13.4725,13.4725,13.4725,13.4725
30-Jan-2001,13.6932,13.6932,13.6932,13.6932
31-Jan-2001,13.8701,13.8701,13.8701,13.8701
01-Feb-2001,13.4591,13.4591,13.4591,13.4591
02-Feb-2001,12.8113,12.8113,12.8113,12.8113
05-Feb-2001,12.8901,12.8901,12.8901,12.8901
06-Feb-2001,12.5809,12.5809,12.5809,12.5809
07-Feb-2001,12.7892,12.7892,12.7892,12.7892
08-Feb-2001,12.8164,12.8164,12.8164,12.8164
09-Feb-2001,12.5672,12.5672,12.5672,12.5672
12-Feb-2001,12.7900,12.7900,12.7900,12.7900
13-Feb-2001,12.2920,12.2920,12.2920,12.2920
14-Feb-2001,13.4201,13.4201,13.4201,13.4201
15-Feb-2001,12.5470,12.5470,12.5470,12.5470
16-Feb-2001,12.8923,12.8923,12.8923,12.8923
19-Feb-2001,13.4182,13.4182,13.4182,13.4182
20-Feb-2001,13.6545,13.6545,13.6545,13.6545
21-Feb-2001,15.0598,15.0598,15.0598,15.0598
22-Feb-2001,16.6866,16.6866,16.6866,16.6866
23-Feb-2001,15.5846,15.5846,15.5846,15.5846
26-Feb-2001,15.1686,15.1686,15.1686,15.1686
27-Feb-2001,14.6863,14.6863,14.6863,14.6863
28-Feb-2001,14.0036,14.0036,14.0036,14.0036
01-Mar-2001,14.5262,14.5262,14.5262,14.5262
02-Mar-2001,14.3661,14.3661,14.3661,14.3661
05-Mar-2001,13.4790,13.4790,13.4790,13.4790
06-Mar-2001,12.9117,12.9117,12.9117,12.9117
07-Mar-2001,12.9456,12.9456,12.9456,12.9456
08-Mar-2001,12.7980,12.7980,12.7980,12.7980
09-Mar-2001,12.8412,12.8412,12.8412,12.8412
12-Mar-2001,14.4624,14.4624,14.4624,14.4624
13-Mar-2001,15.5868,15.5868,15.5868,15.5868
14-Mar-2001,18.0494,18.0494,18.0494,18.0494
15-Mar-2001,19.8615,19.8615,19.8615,19.8615
16-Mar-2001,19.8384,19.8384,19.8384,19.8384
19-Mar-2001,20.1053,20.1053,20.1053,20.1053
20-Mar-2001,20.6163,20.6163,20.6163,20.6163
21-Mar-2001,21.8860,21.8860,21.8860,21.8860
22-Mar-2001,24.7906,24.7906,24.7906,24.7906
23-Mar-2001,24.9974,24.9974,24.9974,24.9974
26-Mar-2001,23.7904,23.7904,23.7904,23.7904
27-Mar-2001,22.5199,22.5199,22.5199,22.5199
28-Mar-2001,23.4139,23.4139,23.4139,23.4139
29-Mar-2001,23.2440,23.2440,23.2440,23.2440
30-Mar-2001,23.3159,23.3159,23.3159,23.3159
02-Apr-2001,23.0508,23.0508,23.0508,23.0508
03-Apr-2001,24.4514,24.4514,24.4514,24.4514
04-Apr-2001,25.9959,25.9959,25.9959,25.9959
05-Apr-2001,23.5720,23.5720,23.5720,23.5720
06-Apr-2001,23.0986,23.0986,23.0986,23.0986
