date,open,high,low,close,volume
2000-01-04,895.0,898.0,879.0,881.0,9024.0
2000-01-05,870.0,879.0,863.0,866.0,87.0
2000-01-06,865.0,868.0,850.0,850.0,538.0
2000-01-07,857.0,866.0,852.0,855.0,2910.0
2000-01-10,863.0,865.0,858.0,859.0,78.0
2000-01-11,858.0,860.0,842.0,847.0,3900.0
2000-01-12,841.0,844.0,838.0,840.0,2931.0
2000-01-13,841.0,843.0,822.0,824.0,562.0
2000-01-14,825.0,844.0,822.0,844.0,6000.0
2000-01-17,844.0,853.0,816.0,818.0,2181.0
2000-01-18,823.0,833.0,816.0,816.0,1508.0
2000-01-19,816.0,820.0,803.0,816.0,4510.0
2000-01-20,818.0,820.0,803.0,803.0,1730.0
2000-01-21,800.0,806.0,796.0,796.0,4928.0
2000-01-24,800.0,804.0,787.0,787.0,1986.0
2000-01-25,782.0,786.0,777.0,780.0,2800.0
2000-01-26,785.0,785.0,768.0,770.0,1418.0
2000-01-27,777.0,796.0,775.0,781.0,36.0
2000-01-28,785.0,795.0,780.0,785.0,2639.0
2000-01-31,780.0,790.0,767.0,767.0,4607.0
2000-02-01,777.0,782.0,764.0,770.0,2327.0
2000-02-02,776.0,777.0,769.0,774.0,1500.0
2000-02-03,783.0,804.0,780.0,803.0,4000.0
2000-02-04,807.0,809.0,771.0,775.0,2367.0
2000-02-07,775.0,792.0,772.0,784.0,1840.0
2000-02-08,787.0,789.0,769.0,771.0,2390.0
2000-02-09,777.0,783.0,750.0,750.0,40.0
2000-02-10,745.0,762.0,744.0,755.0,0.0
2000-02-11,758.0,758.0,727.0,735.0,5119.0
2000-02-14,732.0,740.0,725.0,730.0,3759.0
2000-02-15,729.0,736.0,716.0,718.0,2250.0
2000-02-16,725.0,727.0,717.0,720.0,8813.0
2000-02-17,720.0,749.0,711.0,729.0,4942.0
2000-02-18,732.0,745.0,731.0,735.0,741.0
2000-02-21,731.0,733.0,721.0,722.0,622.0
2000-02-22,723.0,727.0,708.0,714.0,3417.0
2000-02-23,720.0,725.0,704.0,710.0,24635.0
2000-02-24,714.0,714.0,703.0,708.0,185815.0
2000-02-25,714.0,717.0,697.0,701.0,203789.0
2000-02-28,698.0,701.0,685.0,697.0,155331.0
2000-02-29,703.0,709.0,699.0,707.0,150021.0
2000-03-01,710.0,722.0,709.0,716.0,154075.0
2000-03-02,723.0,733.0,708.0,730.0,165515.0
2000-03-03,733.0,736.0,720.0,725.0,113852.0
2000-03-06,725.0,729.0,709.0,713.0,113074.0
2000-03-07,709.0,717.0,705.0,714.0,136446.0
2000-03-08,710.0,717.0,700.0,701.0,135514.0
2000-03-09,702.0,706.0,681.0,687.0,192400.0
2000-03-10,692.0,697.0,680.0,680.0,170207.0
2000-03-13,678.0,682.0,670.0,675.0,167438.0
2000-03-14,680.0,688.0,677.0,686.0,155676.0
2000-03-15,685.0,689.0,673.0,686.0,156349.0
2000-03-16,700.0,766.0,699.0,765.0,545701.0
2000-03-17,795.0,801.0,775.0,775.0,673018.0
2000-03-20,778.0,778.0,758.0,767.0,225152.0
2000-03-21,770.0,802.0,757.0,797.0,337316.0
2000-03-22,804.0,815.0,795.0,798.0,223123.0
2000-03-23,797.0,799.0,775.0,784.0,151122.0
2000-03-24,790.0,811.0,783.0,810.0,179735.0
2000-03-27,806.0,823.0,799.0,799.0,133942.0
2000-03-28,803.0,804.0,786.0,787.0,152962.0
2000-03-29,788.0,811.0,780.0,805.0,177657.0
2000-03-30,800.0,805.0,780.0,800.0,200095.0
2000-03-31,805.0,846.0,804.0,838.0,495761.0
2000-04-03,842.0,857.0,837.0,855.0,232658.0
2000-04-04,860.0,877.0,858.0,877.0,415363.0
2000-04-05,865.0,867.0,816.0,852.0,386319.0
2000-04-06,854.0,865.0,805.0,820.0,384944.0
2000-04-07,820.0,820.0,780.0,799.0,442735.0
2000-04-10,807.0,814.0,794.0,800.0,189680.0
2000-04-11,798.0,818.0,795.0,808.0,162392.0
2000-04-12,814.0,831.0,812.0,823.0,175826.0
2000-04-13,817.0,840.0,817.0,835.0,216459.0
2000-04-14,830.0,845.0,825.0,827.0,219744.0
2000-04-17,791.0,801.0,765.0,773.0,781623.0
2000-04-18,789.0,789.0,750.0,751.0,493891.0
2000-04-19,762.0,763.0,744.0,745.0,317861.0
2000-04-20,744.0,749.0,740.0,745.0,195757.0
2000-04-21,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,754.0,758.0,747.0,747.0,177167.0
2000-04-26,752.0,754.0,733.0,737.0,232920.0
2000-04-27,736.0,741.0,720.0,729.0,208669.0
2000-04-28,734.0,744.0,730.0,733.0,145023.0
2000-05-01,0.0,0.0,0.0,0.0,0.0
2000-05-02,740.0,752.0,734.0,737.0,186141.0
2000-05-03,740.0,747.0,736.0,736.0,191406.0
2000-05-04,736.0,739.0,722.0,727.0,270007.0
2000-05-05,730.0,730.0,716.0,724.0,292347.0
2000-05-08,721.0,739.0,720.0,735.0,270692.0
2000-05-09,738.0,744.0,730.0,742.0,294633.0
2000-05-10,744.0,765.0,738.0,752.0,449394.0
2000-05-11,753.0,775.0,752.0,768.0,457444.0
2000-05-12,776.0,785.0,766.0,784.0,268128.0
2000-05-15,786.0,795.0,780.0,783.0,162319.0
2000-05-16,793.0,808.0,789.0,798.0,300534.0
2000-05-17,795.0,797.0,781.0,789.0,172996.0
2000-05-18,787.0,822.0,786.0,815.0,431015.0
2000-05-19,822.0,826.0,798.0,804.0,246432.0
2000-05-22,800.0,812.0,788.0,797.0,243110.0
2000-05-23,807.0,823.0,800.0,818.0,410863.0
2000-05-24,816.0,827.0,812.0,824.0,303985.0
2000-05-25,830.0,847.0,830.0,841.0,404571.0
2000-05-26,838.0,852.0,836.0,842.0,360635.0
2000-05-29,845.0,852.0,836.0,848.0,205477.0
2000-05-30,851.0,856.0,842.0,853.0,368025.0
2000-05-31,842.0,842.0,822.0,830.0,204551.0
2000-06-01,0.0,0.0,0.0,0.0,0.0
2000-06-02,838.0,839.0,822.0,825.0,266545.0
2000-06-05,830.0,830.0,807.0,809.0,198883.0
2000-06-06,810.0,811.0,789.0,790.0,290438.0
2000-06-07,792.0,798.0,785.0,788.0,216265.0
2000-06-08,791.0,803.0,789.0,794.0,221356.0
2000-06-09,791.0,803.0,791.0,793.0,114887.0
2000-06-12,0.0,0.0,0.0,0.0,0.0
2000-06-13,801.0,812.0,798.0,809.0,299353.0
2000-06-14,813.0,823.0,806.0,822.0,255023.0
2000-06-15,822.0,838.0,820.0,831.0,326436.0
2000-06-16,832.0,852.0,830.0,841.0,521043.0
2000-06-19,835.0,855.0,834.0,847.0,302143.0
2000-06-20,854.0,862.0,849.0,850.0,305900.0
2000-06-21,849.0,853.0,829.0,830.0,327340.0
2000-06-22,833.0,834.0,800.0,800.0,423432.0
2000-06-23,803.0,809.0,795.0,809.0,288351.0
2000-06-26,813.0,822.0,808.0,818.0,170484.0
2000-06-27,0.0,0.0,0.0,0.0,0.0
2000-06-28,816.0,818.0,811.0,815.0,90145.0
2000-06-29,818.0,818.0,803.0,806.0,141319.0
2000-06-30,803.0,814.0,803.0,806.0,139959.0
2000-07-03,811.0,822.0,804.0,822.0,160149.0
2000-07-04,824.0,837.0,818.0,832.0,237165.0
2000-07-05,832.0,842.0,832.0,835.0,334891.0
2000-07-06,833.0,846.0,826.0,838.0,277168.0
2000-07-07,842.0,850.0,840.0,849.0,298173.0
2000-07-10,851.0,866.0,851.0,862.0,337157.0
2000-07-11,862.0,877.0,855.0,877.0,344345.0
2000-07-12,881.0,896.0,875.0,881.0,699399.0
2000-07-13,882.0,889.0,867.0,886.0,547398.0
2000-07-14,885.0,907.0,885.0,888.0,453994.0
2000-07-17,894.0,900.0,884.0,900.0,411407.0
2000-07-18,900.0,903.0,895.0,897.0,255759.0
2000-07-19,895.0,901.0,894.0,895.0,212512.0
2000-07-20,892.0,899.0,887.0,890.0,211605.0
2000-07-21,892.0,893.0,874.0,875.0,264406.0
2000-07-24,876.0,889.0,873.0,884.0,160549.0
2000-07-25,884.0,888.0,878.0,887.0,257772.0
2000-07-26,887.0,891.0,878.0,885.0,235113.0
2000-07-27,884.0,889.0,875.0,875.0,215302.0
2000-07-28,874.0,897.0,874.0,892.0,311558.0
2000-07-31,891.0,904.0,889.0,900.0,189355.0
2000-08-01,0.0,0.0,0.0,0.0,0.0
2000-08-02,903.0,922.0,902.0,920.0,409446.0
2000-08-03,920.0,920.0,910.0,916.0,294182.0
2000-08-04,921.0,930.0,918.0,922.0,301243.0
2000-08-07,925.0,938.0,924.0,936.0,572860.0
2000-08-08,938.0,950.0,932.0,949.0,1019270.0
2000-08-09,950.0,957.0,944.0,945.0,722340.0
2000-08-10,947.0,949.0,937.0,939.0,321345.0
2000-08-11,939.0,949.0,938.0,946.0,286278.0
2000-08-14,950.0,958.0,950.0,958.0,236241.0
2000-08-15,962.0,968.0,955.0,957.0,379106.0
2000-08-16,958.0,966.0,952.0,966.0,420019.0
2000-08-17,962.0,964.0,950.0,954.0,424126.0
2000-08-18,956.0,956.0,948.0,951.0,229569.0
2000-08-21,954.0,961.0,950.0,959.0,189067.0
2000-08-22,961.0,963.0,957.0,963.0,159369.0
2000-08-23,964.0,969.0,950.0,963.0,207528.0
2000-08-24,963.0,977.0,954.0,954.0,389484.0
2000-08-25,956.0,956.0,911.0,917.0,1171723.0
2000-08-28,922.0,930.0,917.0,926.0,230728.0
2000-08-29,927.0,931.0,902.0,907.0,383368.0
2000-08-30,907.0,908.0,890.0,892.0,365853.0
2000-08-31,894.0,902.0,887.0,897.0,452172.0
2000-09-01,902.0,902.0,881.0,884.0,431628.0
2000-09-04,887.0,891.0,884.0,884.0,207016.0
2000-09-05,889.0,889.0,877.0,877.0,250901.0
